0,may dri nose may help moistur membran  dri membran lead septal perfor  though mani caus 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
75,coke answer    stop use consult psycholog health profession 75,stop use cocain tri  took 4 hit 10 min start feel heart pound  dizzi  nausea etc 75,allegra  constip  sore throat  throat pain  lightheaded  traumat brain injuri  tmj syndrom  depress  concuss  diabet type 2  breast cancer  ulcer  bisacodyl  dulcolax  wound care 75,nausea  dizzi  pound heartbeat  vertigo  cocain
76,classic tmj classic tmj symptom 76,tmj caus ear pain  sore ear littl discomfort front ear  ear pain deep ach  jaw open crook pop  come  goe 76,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 76,earach  tmj syndrom
77,differ opinion detail question import as: saw first time span visit pain get wors  better intens durat pain often  answer whether rct necessari 100% appar  wait  els seem ok help determin need  cant wait  rct 77,endodontist say dont need root canal  dentist say   pain sensit cold tooth 77,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 77,root canal  endodont
78,call pcp call pcp seen monday morn  reefer breast specialist evalu 78,swollen left breast pain  nippl discharg  blood  itch  lymph node armpit tender   see pcp er 78,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 78,nippl discharg
79,yes igm + get infect 1st time  becom negat  may becom + flare  igg stay + forev  get hsv1 fever blister most parent kiss  peopl get flare up frequent stress   cold     never get still shed pass  probabl parent 79,hsv 1  partner 30 year old show hsv 1 igg detect  igm  negat  say cold sore sinc childhood  tramit hsv 1 79,nan 79,herp  asymptomat  cold sore  herp simplex 1  immunoglobulin  hsv  low temperatur  virus  children  transmiss
80,med   extract dentist wouldv prescrib proper antibiot treat infect  extract wisdom tooth would consid special impact 80,recommend wisdom teeth xray taken coupl day ago  lowr right area sore  hurt wen eat drink  wut 80,root canal  oral surgeri  dental implant  child health  cosmet dentistri  teeth 80,wisdom teeth
81,alcohol lead cirrhosi alcohol relat cirrhosi alway lead cancer 81,sister got diagnos liver cirrhosi year drink abus prescript medic   alway lead liver cancer 81,nan 81,cirrhosi liver  cancer  liver cancer  hospic
82,told technologist studi alert find mark  otherwis may appear focal skin thicken suspici 82,radiologist gyn question: digit mammogram  radiologist see seborrh keratosi breast 3 larg 3 small  know mark suspici 82,sonogram 82,keratosi  mammogram  seborrh keratosi  digit mammogram
83,read think consid dissect fascia  cut connect  send part path lab  sew rest see nerv fascia injur  hurt may nerv injur inflammatori reaction fascia caus food  injur   chang food    www blatmanhealthandwel com 83,sensit biopsi test small fiber neuropathi 83,prolotherapi  scoliosi 83,neuropathi  nerv damag  fiber  biopsi
84,neuro eval look like need good neuro consult  may need spinal mri  emg ncs  though coordin specialist offic complet review symptom  examin  test date  hope get answer soon 84,neuro exam emg  mri brain normal   spinal mri done   weak  shaki leg dizzi lot   balanc   fatigu  fascil  ms gadneuro 84,electromyographi  concuss  sport medicin  musculoskelet problem 84,dizzi  multipl sclerosi  lethargi  general anxieti disord  mri  mri brain  electromyographi  magnet reson imag
85,yes call obstetrician go emerg room 85,24 week pregnant  feel like im go passout  k level 3 2  nausea  left arm hurt feel want go numb   concern 85,back pain  neck pain  spine surgeri  spinal surgeri  spondylolisthesi  neck surgeri  posterior lumbar interbodi fusion  cervic disc replac  artifici disc replac  orthoped spine surgeri  transforamin lumbar interbodi fusion  anterior cervic fusion  cervic discectomi fusion 85,syncop  pregnanc
86,anxieti yes  like concentr way feel find someth make feel uneasi  may abl put finger 86,anxieti caus dizzi feeli faint without feel im scare panic attack moment 86,panic attack  eat disord  post traumat stress disord  poor nutrit  vitamin defici  anxieti disord  race mind 86,dizzi  feel anxious  syncop  panic disord  panic attack  anxieti  vertigo
87,cancer mouth oral cancer painless  make challeng find  may viral infect caus swell inflamm  could mononucleosi 87,possibl could oral cancer  would tongu throat hurt time  also ear pain  jaw pain  throat sting hard swallow 87,root canal  abscess  cancer  sleep  oral thrush  candidiasi  heart murmur  tooth pain  dental pain  advil  fals teeth  oral surgeri  dental cari  cari  tmj syndrom  dentistri  umbil hernia  massag  surgeri  disloc 87,sore throat  earach  jaw pain  difficulti swallow  cancer  oral cancer  mouth cancer
88,rib pain cardiac work negat  may possibl costochondr musculoskelt origin  one simpl test may take deep breath press site typic get pain  pain reproduc press upon deep inspir  like musculoskelet origin  visit doctor discuss  howev 88,mild random chest pain left side chest   usual breast  almost feel like rib  ekg  bw  stress test  echo xray  normal 88,vitiligo  hair loss  chemic laser treatment melasma  facial peel  laser therapi  cosmet surgeri 88,chest pain  stress  chest tight  chest pressur  angina  echo  electrocardiogram  roentgen ray  stress test
89,fenofibr pattern consist allergi drug  asthma like symptom rare occur fenofibr eye nose involv describ almost alway inhal 89,take fenofibr lipid regul agent thus trigger allergi eg sneez wateri nose red eye itchi tongu preckl ontop 89,allergi  asthma  immun diseas  latex allergi  migrain  fibromyalgia 89,hypersensit  tricor  lipid  fenofibr  allergi
90,see could mild case strep throat pharyng  howev  sore throat even white spot often caus viral infect 90,strep throat symptom swollen tonsil  white spot  sore throat  fever  ach  etc  feel fine 90,hepat  birth defect  infecti diseas  frequent ear infect  asthma children 90,asymptomat  strep throat  fever  sore throat  swollen tonsil
91,see doctor doctor evalu diagnos whether blood clot   chanc blood clot order venous ultrasound test 91,distinguish pain sciatica leg blood cloti get scare pain get hip foot pain similar 2 dvt 91,diabet  women health  hyperlipidemia  hypertens 91,dimer  ultrasound lower extrem vein
92,well    indiscrimin use antibiot recommend upper respiratori infect usual viral  point cultur order avoid smoke pollen  use humidifi 92,2 week ago swollen gland  post nasal drip  cough  got zpack better  swollen gland back drip  bad throat pain  sea  allergi 92,diabet  thyroid diseas 92,cough  sore throat  throat pain  swollen gland  enlarg lymph node  hypersensit  post nasal drip  z pak  enlarg gland  zithromax
93,yes  possibl tooth sensit cold last month caviti deep near nerv area  experi sensit hot worri  usual mean need root canal therapi  patient good luck 93,fill month ago  sensit cold  dentist said ok sensit hot also  sound right 93,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 93,cold sensit
94,bp dm diabet stricter bp control paramet bp would goal 130 80  tough differenti heart anxieti  deal issu daili basi  tell see dr  get evalu  get bp littl better control  get heart check regular  eat well  well  stay well  god bless 94,blood pressur 141 86 puls 76 bad im diabet feel palpit also  differenti heart vs  anxieti 94,urinari tract infect 94,feel anxious  palpit  blood pressur  anxieti
95,normal flight fight reaction overwhelm  get counselor talk situat bring attack give cope tip 95,start feel overwhelm feel like cant breath lump throat start panic wrong 95,sleep  femal health  acn  diabet  cancer  depress  child diabet  facial pimpl  lose weight  asthma  diabet risk  cerebr apoplexi  laparoscop surgeri  sleep disord  foul tast mouth  feel anxious  drowsi  fever  weight loss program  intern medicin pediatr 95,panic attack  anxieti
96,see doctor could std bacteri vaginosi 96,white milki discharg taken monistat 7 day    im rule yeast infect  could 96,diabet  women health  hyperlipidemia  hypertens 96,yeast infect  yeast  candida
97,check pregnanc test caus recurr abdomin pelvic discomfort describ may identifi first address sign symptom local organ involved: vagin discharg bleed  alter period  pregnanc risk fever  nausea  vomit  alter stool pattern  blood stool  tender  distens pain urin  blood urin recent trauma  herniat age gender risk factor 97,headach  fatigu  cramp  bloat  constip  tender nippl  back pain  dizzi  last period start june 3  pregnant 97,gastroenterolog  irrit bowel syndrom  heartburn  colonoscopi  endoscopi 97,constip  back pain  dizzi  headach  lethargi  menstrual cycl  pain back  pregnanc  vertigo
98,tmjtmd tmj disord second frequent caus orofaci pain dental pain  common symptom are: jaw pain  earach headach  proper diagnosi cancer screen key success treatment  disord resolv home care  see orofaci pain specialist evalu treatment  check site ofp near you: http:  www aaop org 98,side jaw hurt right ear  cannot open mouth way plus sound like sand insid could tmj 98,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 98,tmj syndrom
99,cellul leg red warm swollen  could sign bacteri infect call cellul  rare  serious flesh eat bacteria  antibiot warrant cellul  need consid deep vein thrombosi especi leg edema calf tender 99,father leg becam red hot swollen knee hurt  dr  said bitten someth  could caus 99,nan 99,nan
100,sometim  vagin childbirth number one risk factor stress incontin  howev  women give birth stress incontin  mani women temporarili stress incontin childbirth  initi treatment regular pelvic floor exercis  evalu addit treatment option see gyn 100,part kid stress incontin 100,incontin  cystocel  rectocel  uterin prolaps  urinari incontin  overact bladder  bladder sling surgeri  hereditari ovarian cancer  fecal incontin  hormon replac therapi  pain bladder syndrom  hereditari breast cancer  minim invas surgeri 100,stress  stress incontin  urinari incontin  leak urin  incontin  children  stress urinari incontin  loss bladder control  run
101,gum bump tooth dds dmd check   probabl take imag two bone tooth  develop diagnosi treatment plan  best bd 101,small bump gum underneath tooth  look like blister month  hurt chang size 101,bone graft  dental implant 101,nan
102,watch wait numb upper arm  without hand symptom weak  probabl axillari nerv neuropraxia  e   stretch nerv sleep weird posit without move  symptom last sever day  usual resolv complet 102,sleep heavili medic  numb upper left arm 1 5 day nonstop  type 1 diabet  ned see doc wait 102,infecti diseas 102,numb  sleep
103,cbc order lab check std 103,drs check stds gonorrhea chlamydia cbc order 103,cancer  nutrit  cervic cancer  ovarian cancer 103,sexual transmit diseas  gonorrhea  chlamydia infect  chlamydia trachomati   complet blood count  chlamydia gonorrhea  cbc
104,probabl  lyrica tend better toler neurontin  concern  contact prescrib physician 104,side effect switch neurontin lyrica 104,brain aneurysm  pseudotumor cerebri  intracerebr hemorrhag  stroke  brain avm 104,neurontin  lyrica  gabapentin
105,answer best cours action see local dentist physician complet thorough work evalu resolv these issu  set appoint today feel better sooner 105,poor postur tens asleep grind teeth night  possibl lupus depress slight low iron determin caus fatigu weak 105,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 105,depress  lethargi  system lupus erythematosus  iron
106,dermatologist dissemin erupt requir skill good dermatologist diagnosi treatment  perhap biopsi need alreadi perform 106,itchi red pustul scalp go hair salon 6 yrs ago bodi except face allergi folliculti allergi med  prednison help 106,nan 106,red pustul  pustul  hypersensit  liquid pred  prednison  deltason  allergi
107,2 migrain month qualifi prophylact care  seek help dont suffer much 107,week migrain headach normal triggeredbi certain foofood  direct sunlight  manag induc vomit drink warm water  skip 2 meal 107,sleep  femal health  acn  diabet  cancer  depress  child diabet  facial pimpl  lose weight  asthma  diabet risk  cerebr apoplexi  laparoscop surgeri  sleep disord  foul tast mouth  feel anxious  drowsi  fever  weight loss program  intern medicin pediatr 107,vomit  headach  migrain headach  migrain  emesi
