0,common  routin remov make surgeri complic experienc surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,sinus diseas 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
78,see md 4 evalu realli see surgeon physician evalu  pain swell lymph node suggest inflammatori neoplast infecti process evalu possibl diagnost imag surgeri remov biopsi 78,swollen left breast pain  nippl discharg  blood  itch  lymph node armpit tender   see pcp er 78,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 78,nippl discharg
79,yes close relat cant get genit herp oral sore normal circumst 79,hsv 1  partner 30 year old show hsv 1 igg detect  igm  negat  say cold sore sinc childhood  tramit hsv 1 79,erectil dysfunct  infertil  peni disord  testicular disord  male genit disord  men health 79,herp  asymptomat  cold sore  herp simplex 1  immunoglobulin  hsv  low temperatur  virus  children  transmiss
80,eat im sure surgeon tell could eat  6 day enough closur socket site eat filet mignon  go treat 80,recommend wisdom teeth xray taken coupl day ago  lowr right area sore  hurt wen eat drink  wut 80,snore  sleep apnea  dental implant  apnea  cosmet dentistri  sleep  obstruct sleep apnea  cosmet  botox  juvederm  dental laser 80,wisdom teeth
81,talk oncologist goal chemotherapi set  therapi may prolong life  side effect may worth 81,sister got diagnos liver cirrhosi year drink abus prescript medic   alway lead liver cancer 81,nan 81,cirrhosi liver  cancer  liver cancer  hospic
82,mammo vs ultrasound mammogram low dose xray breast  ultrasound util sound wave generat imag  mammo current standard care screen  ultrasound adjunct problem solv role 82,radiologist gyn question: digit mammogram  radiologist see seborrh keratosi breast 3 larg 3 small  know mark suspici 82,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 82,keratosi  mammogram  seborrh keratosi  digit mammogram
83,would tri take prescript metanx  vitamin work well small nerv fiber neuropathi 83,sensit biopsi test small fiber neuropathi 83,plantar fasciiti  diabet foot  neuroma 83,neuropathi  nerv damag  fiber  biopsi
84,mcdonald criteria look dissemin space  lesion differ area brain  also spinal cord  dissemin time  presenc old newer lesion  mri pattern confirm diagnosi 84,neuro exam emg  mri brain normal   spinal mri done   weak  shaki leg dizzi lot   balanc   fatigu  fascil  ms gadneuro 84,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 84,dizzi  multipl sclerosi  lethargi  general anxieti disord  mri  mri brain  electromyographi  magnet reson imag
85,brachial plexus need full exam includ emg check brachial plexus 85,24 week pregnant  feel like im go passout  k level 3 2  nausea  left arm hurt feel want go numb   concern 85,sleep  exercis  contracept 85,syncop  pregnanc
86,plavix 86,anxieti caus dizzi feeli faint without feel im scare panic attack moment 86,sleep  healthi pregnanc  psychiatri  hopeless  adderal  psychiatri sleep 86,dizzi  feel anxious  syncop  panic disord  panic attack  anxieti  vertigo
87,oral cancer screen best visit dentist get oral cancer screen done  dentist great resourc detect diseas earli 87,possibl could oral cancer  would tongu throat hurt time  also ear pain  jaw pain  throat sting hard swallow 87,nan 87,sore throat  earach  jaw pain  difficulti swallow  cancer  oral cancer  mouth cancer
88,explain feel breathless  perhap anxieti  perhap narrow larg airway  varieti item  id interest know whether keep athlet peer  that real test adequ heart lung   sensat describ probabl nerv  otherwis  continu workup 88,mild random chest pain left side chest   usual breast  almost feel like rib  ekg  bw  stress test  echo xray  normal 88,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 88,chest pain  stress  chest tight  chest pressur  angina  echo  electrocardiogram  roentgen ray  stress test
89,take claritin sinc u fever   think allergi 89,take fenofibr lipid regul agent thus trigger allergi eg sneez wateri nose red eye itchi tongu preckl ontop 89,nan 89,hypersensit  tricor  lipid  fenofibr  allergi
90,strep amp tonsil tonsil describ infect inflamm tonsil  general present fever  sore throat throat pain  pain swallow swell  red sometim white  yellow grayish materi tonsil  strep one readili identifi bacteria caus tonsil  typic throat cultur done identifi strep 90,strep throat symptom swollen tonsil  white spot  sore throat  fever  ach  etc  feel fine 90,tonsillectomi adenoidectomi  xeomin  chemic laser treatment melasma  sleep disturb childhood 90,asymptomat  strep throat  fever  sore throat  swollen tonsil
91,ct venogram done lower extrem determin clot exist ultrasound dimer negat 91,distinguish pain sciatica leg blood cloti get scare pain get hip foot pain similar 2 dvt 91,sciatica  pain back  epidur steroid inject  osteoarthr  neck pain  migrain  botox  mri spine  radiofrequ ablat  rhizotomi  complex region pain syndrom  lumbar facet inject  stem cell therapi  nerv injuri  lumbar facet rhizotomi  xray spine  lumbar sympathet block  stellat ganglion block  percutan discectomi 91,dimer  ultrasound lower extrem vein
92,possibl sound like get sick  go see internist  would need cultur verifi strep throat  gargl warm salt water help sore throat  umcka cold flu help lot natur 92,2 week ago swollen gland  post nasal drip  cough  got zpack better  swollen gland back drip  bad throat pain  sea  allergi 92,bone graft  dental implant  cosmet  mouth biopsi  wisdom tooth extract 92,cough  sore throat  throat pain  swollen gland  enlarg lymph node  hypersensit  post nasal drip  z pak  enlarg gland  zithromax
93,ultrasound best test palpabl mass breast ultrasound  even mammogram negat  hope help 93,fill month ago  sensit cold  dentist said ok sensit hot also  sound right 93,breast cancer  lung cancer  oncolog  hematolog 93,cold sensit
94,anxieti last thing 28 year old woman worri heart attack  sound like anxieti disord  doctor treat rather order unnecessari ekg  echo  stress test 94,blood pressur 141 86 puls 76 bad im diabet feel palpit also  differenti heart vs  anxieti 94,hiv aid  sexual transmit diseas  syphili  sexual transmit infect  sexual health  hiv medic 94,feel anxious  palpit  blood pressur  anxieti
95,neck problem mani possibl thing got wrong  sort  ent exam  ct scan  thyroid ultrasound  gi problem esophag portion  etc  ask doctor  delay  may serious 95,start feel overwhelm feel like cant breath lump throat start panic wrong 95,nan 95,panic attack  anxieti
96,yes yeast infect dri vagina skin irrit see provid exam provid right therapi 96,white milki discharg taken monistat 7 day    im rule yeast infect  could 96,dementia  nutrit  pain manag  natur remedi  weight loss program  addict medicin 96,yeast infect  yeast  candida
97,unlik unlik cancer  could sign infect  inflamm even pregnanc  suggest consult doctor examin check pregnanc 97,headach  fatigu  cramp  bloat  constip  tender nippl  back pain  dizzi  last period start june 3  pregnant 97,cancer  hematolog diseas 97,constip  back pain  dizzi  headach  lethargi  menstrual cycl  pain back  pregnanc  vertigo
98,disk displac hard say without thorough histori exam  caus  frequenc sever import  would see tmj tmd specialist  lock sound like close lock  disk may disloc  click pop open close 98,side jaw hurt right ear  cannot open mouth way plus sound like sand insid could tmj 98,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 98,tmj syndrom
99,perhap persist foot pain  could multipl etiolog  necessarili broken bone  though could  could stress fractur  could plantar fasciiti  could tendin  best orthopaed surgeon check get bottom 99,father leg becam red hot swollen knee hurt  dr  said bitten someth  could caus 99,hand surgeri  hand bone fractur  rotat cuff repair  shoulder arthroscopi  acl reconstruct 99,nan
100,pelvic relax vagin deliveri result damag pelvic support allow bladder  urethra  uterus  rectum  vagina begin drop pelvi  women end pelvic organ drop open vagina  requir surgeri repair damag decreas symptom 100,part kid stress incontin 100,femal health  healthi pregnanc  polycyst ovarian syndrom  mens  contracept  hysterectomi  cancer  ovul  laparoscop surgeri  normal childbirth  child health  pap smear  endometriosi  bleed  vagin hysterectomi  surgeri  spot  breast cancer  robot surgeri  da vinci robot surgeri 100,stress  stress incontin  urinari incontin  leak urin  incontin  children  stress urinari incontin  loss bladder control  run
101,go hospit symptom  could bacteri infect need treat  parent guardian take doctor offic hospit 101,small bump gum underneath tooth  look like blister month  hurt chang size 101,mole  cancer  skin cancer  mole remov  melanoma  skin rash  herp zoster  malign melanoma  blister  dermatopatholog  dermatofibroma  dermatoscopi  live skin cancer 101,nan
102,consult spine md sound much like herniat disk pinch nerv neck  would suggest go neck evalu spine surgeon 102,sleep heavili medic  numb upper left arm 1 5 day nonstop  type 1 diabet  ned see doc wait 102,child health  numb  pinch nerv  opiat  arthriti  brain aneurysm  pain joint  massag  deep brain stimul  trauma center  anesthesia  multipl trauma  neuromuscular blocker  brain avm  narcot combin pain 102,numb  sleep
103,unlik think infect happen 10 month ago alreadi resolv like explan lymph node enlarg unless tell still suffer infect even  big lymph node pain painless caviti inflamm gum etc  go see primari care doctor get evalu 103,drs check stds gonorrhea chlamydia cbc order 103,cancer  chemotherapi  leukemia  lung cancer  lymphoma  colon cancer  skin cancer  melanoma  cervic cancer  mouth cancer  ovarian cancer  multipl myeloma  stomach cancer  chronic myelogen leukemia  throat cancer  oncolog  thrombocytopenia  small cell lung cancer  chronic leukemia  oral cancer 103,sexual transmit diseas  gonorrhea  chlamydia infect  chlamydia trachomati   complet blood count  chlamydia gonorrhea  cbc
104,celexa lexapro celexa citalopram lexapro ecitalopram  relat similar  much time individu prefer one import determin one person prefer  general lexapro slight prefer celexa recent shown high dose risk cardiac arrhythmia 104,side effect switch neurontin lyrica 104,psychotherapi  psychiatri  integr medicin  parent 104,neurontin  lyrica  gabapentin
105,yes yoy need see primari care doctor find caus swollen lymph node suggest infect may need treat antibiot  yes larg swollen lymph node caus jaw pain 105,poor postur tens asleep grind teeth night  possibl lupus depress slight low iron determin caus fatigu weak 105,asthma  pediatr  immun  prevent medicin  metabol syndrom  endocrinolog 105,depress  lethargi  system lupus erythematosus  iron
106,cough would suspect cough case bronchiti could actual exacerb sciatica  like coincident pain increas start steroid 106,itchi red pustul scalp go hair salon 6 yrs ago bodi except face allergi folliculti allergi med  prednison help 106,pain manag  back pain  sciatica  pain back  backach  opiat  fibromyalgia  chronic pain  spinal cord injuri  arthriti  osteopath 106,red pustul  pustul  hypersensit  liquid pred  prednison  deltason  allergi
107,botox surgeri long term relief migrain achiev botox  good respons  may candid surgeri  surgeri shown dramat decreas frequenc intens migrain  www themigrainereliefcent com 107,week migrain headach normal triggeredbi certain foofood  direct sunlight  manag induc vomit drink warm water  skip 2 meal 107,carpal tunnel syndrom  tummi tuck  breast implant  migrain  cosmet  breast augment  liposuct  rhinoplasti  hand surgeri  facelift  botox  dermal filler  plastic cosmet surgeri  eyelid surgeri  bodi contour  breast enlarg surgeri  trigger thumb  scar revis  forehead lift  bulbous nose 107,vomit  headach  migrain headach  migrain  emesi
