0,cool mist humidifi use nasacortov counter 1 spray nostril day 34 day 0,use salt water nasal spray help prevent develop perfor septum 0,children health 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
73,see depend size radiograph appear small may ok follow could potenti benign 73,fear get lukemia lung cancer one chest ct scan one month ago  danger ct scan get cancer 73,cancer  lung cancer  lung nodul  non small cell lung cancer  immunotherapi  thymoma  thymectomi  thorac neoplasm  ct chest  small cell lung cancer 73,cancer  leukemia  lung cancer  ct chest  comput tomographi  ct scan
74,start doc see doctor ask relev question  examin  possibl order lab test  imag studi  nerv test exam suggest one need  formal physic occup therapi may benefici doctor also recommend  proper ergonom help minim prevent problem 74,pack hand wound paper gone  hand swollen size egg lot pain  red  tender  go urgent care er 74,back pain  pain back  neck pain  suboxon  pain manag  pinch nerv  muscl spasm  epidur steroid inject  degen disc diseas  sciatica 74,wound  hand swell  urgent care
75,seek medic help common symptom concuss headach  dizzi  feel tire  addit symptom includ memori problem  nausea vomit  troubl think  rational addit evalu ensur structur damag blood clot skull fractur might need neurosurg intervent 75,stop use cocain tri  took 4 hit 10 min start feel heart pound  dizzi  nausea etc 75,cancer  brain injuri  arterioven malform  glioblastoma  tbi 75,nausea  dizzi  pound heartbeat  vertigo  cocain
76,yes tmj caus pop sound deviat jaw upon open close  check dentist like need bite guard  second part question  tmj caus hear loss  patient hear loss tmj  correct bite guard 76,tmj caus ear pain  sore ear littl discomfort front ear  ear pain deep ach  jaw open crook pop  come  goe 76,sleep apnea  periodont  pain mouth sore  oral surgeri  topic medic laser treatment  dental health 76,earach  tmj syndrom
77,see ddd pain swell root canal treatment start immedi  antibiot alon may abl pace infect  dentist unwil start treatment seek second opinion  antibiot meant reliev pain 77,endodontist say dont need root canal  dentist say   pain sensit cold tooth 77,dental health  dental care  dental pain  oral surgeri  root end surgeri  dental xray 77,root canal  endodont
78,mani thing infect aoutoimmun diseas cancer seek medic care adult medic doctor 78,swollen left breast pain  nippl discharg  blood  itch  lymph node armpit tender   see pcp er 78,lung cancer  breast cancer  lymphoma  gi cancer  colorect cancer 78,nippl discharg
79,hs waist herp simplex communic viral infect type occur usual mouth nose face usual transmit asexu type ii occur genit anal area usual transmit sexual  initi infect intens  accompani fever swell  remiss virus hide nerv sheath trigger stress environment exposur 79,hsv 1  partner 30 year old show hsv 1 igg detect  igm  negat  say cold sore sinc childhood  tramit hsv 1 79,dental bridg  cosmet dentistri 79,herp  asymptomat  cold sore  herp simplex 1  immunoglobulin  hsv  low temperatur  virus  children  transmiss
80,yes dri socket unbear pain  see oral surgeon pain level high  jaw pain common postur jaw wide open extend amount time  lower level pain 80,recommend wisdom teeth xray taken coupl day ago  lowr right area sore  hurt wen eat drink  wut 80,nan 80,wisdom teeth
81,fibroscan yes  general reason diagnost tool 81,sister got diagnos liver cirrhosi year drink abus prescript medic   alway lead liver cancer 81,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 81,cirrhosi liver  cancer  liver cancer  hospic
82,mammo amount breast tissu  general mammo perform 82,radiologist gyn question: digit mammogram  radiologist see seborrh keratosi breast 3 larg 3 small  know mark suspici 82,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 82,keratosi  mammogram  seborrh keratosi  digit mammogram
83,associ associ exact causat  sleep autonom nervous system close relat anatom  physiolog  neurochem point view larg number neurolog general medic disord diabet  cardiovascular diseas  neurodegen diseas associ autonom failur sleep disord 83,sensit biopsi test small fiber neuropathi 83,ophthalmolog  vision  diabet retinopathi  diabet type 2  diabet eye problem  intern medicin  healthi eat  stress less  cataract surgeri  low salt diet  glaucoma  lasik  travel medicin  vitamin supplement  healthi vegetarian diet  vegetarian diet 83,neuropathi  nerv damag  fiber  biopsi
84,concern tingl hand could repres carpal tunnel syndrom  eye floater relationship ms  dizzi could due mani issu  anemia  thyroid problem  medic reaction  inner ear issu  ms quit unlik 84,neuro exam emg  mri brain normal   spinal mri done   weak  shaki leg dizzi lot   balanc   fatigu  fascil  ms gadneuro 84,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 84,dizzi  multipl sclerosi  lethargi  general anxieti disord  mri  mri brain  electromyographi  magnet reson imag
85,see eye md vision blur  see eye doctor measur eye pressur  occasion angl closur glaucoma  rais eye pressur much caus nausea  rule 85,24 week pregnant  feel like im go passout  k level 3 2  nausea  left arm hurt feel want go numb   concern 85,vision  chalazion  pink eye  conjunct  tremor  burn  dri eye  swell  hordeolum  astigmat  nearsighted  exercis  cancer  fanapt  eye health  migrain  eye pain  blurri vision  hazi vision  itch 85,syncop  pregnanc
86,chanc mother depress anxieti may affect fetus also  epigenet  fetus may influenc mother effort resist depress anxieti  hurt babi entir strong  reconsid medicin panic attack  also affirm cours taken  protect child  therapi help 86,anxieti caus dizzi feeli faint without feel im scare panic attack moment 86,nan 86,dizzi  feel anxious  syncop  panic disord  panic attack  anxieti  vertigo
87,see doc pleas seen either urgent care clinic ed today  may strep pharyng  ear infect  remot possibl mening  like viral upper respiratori infect best rule serious ill 87,possibl could oral cancer  would tongu throat hurt time  also ear pain  jaw pain  throat sting hard swallow 87,nan 87,sore throat  earach  jaw pain  difficulti swallow  cancer  oral cancer  mouth cancer
88,sinus tachycardia consult cardiologist stress test lab  abe  tell anyth abnorm chest pain due rapid heart rate 88,mild random chest pain left side chest   usual breast  almost feel like rib  ekg  bw  stress test  echo xray  normal 88,barium swallow xray 88,chest pain  stress  chest tight  chest pressur  angina  echo  electrocardiogram  roentgen ray  stress test
89,yes allergi probabl spring time allergi need treat problem  start tri counter allergi medic   work may need see allergist control 89,take fenofibr lipid regul agent thus trigger allergi eg sneez wateri nose red eye itchi tongu preckl ontop 89,asthma  child allergi  acut sinus  allergi  allergi shot 89,hypersensit  tricor  lipid  fenofibr  allergi
90,possibl sound like get sick  go see internist  would need cultur verifi strep throat  gargl warm salt water help sore throat  umcka cold flu help lot natur 90,strep throat symptom swollen tonsil  white spot  sore throat  fever  ach  etc  feel fine 90,bone graft  dental implant  cosmet  mouth biopsi  wisdom tooth extract 90,asymptomat  strep throat  fever  sore throat  swollen tonsil
91,yes mani caus leg pain dvt one  ddimer sensit enough exclud blood clot evalu venous insuffici  duplex obstruct insuffici evalu deep superfici vein good start  caus leg pain myositi  refer pain nerv compress etc doctor help 91,distinguish pain sciatica leg blood cloti get scare pain get hip foot pain similar 2 dvt 91,thorac outlet syndrom  treat varicos vein  carotid arteri surgeri  aortic aneurysm repair  manag peripher vascular diseas 91,dimer  ultrasound lower extrem vein
92,physician will provid prescript w examin symptom c w strep famili member confirm diagnosi  take care 92,2 week ago swollen gland  post nasal drip  cough  got zpack better  swollen gland back drip  bad throat pain  sea  allergi 92,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 92,cough  sore throat  throat pain  swollen gland  enlarg lymph node  hypersensit  post nasal drip  z pak  enlarg gland  zithromax
93,see dentist doc told tmj problem  good place start would dentist evalu symptom decid problem tmj problem 93,fill month ago  sensit cold  dentist said ok sensit hot also  sound right 93,wisdom tooth extract 93,cold sensit
94,get sleep studi pleas see sleep md  experienc classic reaction bodi breath  call sleep apnea serious 94,blood pressur 141 86 puls 76 bad im diabet feel palpit also  differenti heart vs  anxieti 94,sleep  dizzi  tooth pain  tmj syndrom  daytim sleepi  gum diseas  drowsi  oral hygein  dentistri  sleep apnea  loud snore  dental care  migrain headach  mouth brace  periodont  morn headach  bad breath  miss teeth  thumbsuck 94,feel anxious  palpit  blood pressur  anxieti
95,perhap symptom panic attack  individu sever symptom like come sudden without particular trigger  symptom panic attack  full blown panic attack 95,start feel overwhelm feel like cant breath lump throat start panic wrong 95,borderlin person disord  alcohol depend  drug addict 95,panic attack  anxieti
96,mani possibl age could start earli menopaus  hormon fluctuat could make prone yeast infect  perhap contact allergi  tri topic lotrimin see help  improv check doctor 96,white milki discharg taken monistat 7 day    im rule yeast infect  could 96,os 96,yeast infect  yeast  candida
97,mayb pregnanc test answer question minut good luck good wish 97,headach  fatigu  cramp  bloat  constip  tender nippl  back pain  dizzi  last period start june 3  pregnant 97,fertil  get pregnant  polycyst ovarian syndrom  ivf pregnanc  endometriosi  pregnanc loss  ectop pregnanc 97,constip  back pain  dizzi  headach  lethargi  menstrual cycl  pain back  pregnanc  vertigo
98,yes that like possibl  see dentist soon possibl infect spread quick caus serious complic 98,side jaw hurt right ear  cannot open mouth way plus sound like sand insid could tmj 98,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 98,tmj syndrom
99,what caus  cellul basic visibl inflamm iti skin soft tissu red  hot  swollen tender   caus mani thing includ sunburn radiat  trauma sprain ankl poor vein circul stasi dermat  need caus bacteria  repeat episod  get wound care vascular specialist  diagnos wrong 99,father leg becam red hot swollen knee hurt  dr  said bitten someth  could caus 99,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 99,nan
100,part associ caus factor caus stress incontin stress incontin occur without prolaps 100,part kid stress incontin 100,incontin  laparoscop surgeri  rectal prolaps  urinari incontin  uterin prolaps  fecal incontin  heavi period 100,stress  stress incontin  urinari incontin  leak urin  incontin  children  stress urinari incontin  loss bladder control  run
101,need exam possibl biopsi  see ent u start pcp dentist  good luck 101,small bump gum underneath tooth  look like blister month  hurt chang size 101,headach  numb  surgeri  exercis  bruis  sleep  diabet  ulcer  chest pain  cough  exercis  broken bone  dementia  hypertens  eat healthier  wound  sport medicin  heart diseas  joint 101,nan
102,brachial plexus need full exam includ emg check brachial plexus 102,sleep heavili medic  numb upper left arm 1 5 day nonstop  type 1 diabet  ned see doc wait 102,sleep  exercis  contracept 102,numb  sleep
103,protect old adag state go bed someon  bed everyon ever sex actual accur  previous virgin issu  unfortun  mani stds  asymptomat carrier state peopl ill without symptom  condom protect  suggest condom 6 month plus monogami 103,drs check stds gonorrhea chlamydia cbc order 103,dizzi  back pain  allergi  blister  diabet type 2  depress  amoxil  anxieti disord  asthma  streptococc infect  aerob exercis  depress adult  telemedicin  essenti hypertens  primari care facil 103,sexual transmit diseas  gonorrhea  chlamydia infect  chlamydia trachomati   complet blood count  chlamydia gonorrhea  cbc
