0,septoplasti septal spur common find  surgeon equip manag issu 0,use salt water nasal spray help prevent develop perfor septum 0,deviat nasal septum  facelift  septoplasti  facial plastic surgeri  botox  ent head neck surgeri  dermal filler  deviat septum surgeri  eye lift  neck lift  brow lift  mini lift  revis rhinoplasti  constip  rhinoplasti  rhinoplasti  asian american health  asian eyelid surgeri  blepharoplasti 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
73,need good doct good doctor abl investig problem relev test  think rare cancer  heavi smoker 50  might think pancoast tumor unlik case  pain come chest  bone spinal canal spinal cord  good physic exam closer look structur area pain help diagnosi 73,fear get lukemia lung cancer one chest ct scan one month ago  danger ct scan get cancer 73,breast cancer  oncolog  malign melanoma 73,cancer  leukemia  lung cancer  ct chest  comput tomographi  ct scan
74,yep new onset sore throat  red  discolor patch need evalu strep throat  rapid strep test negat  ask throat cultur  sinc 1 3 10 rapid strep test fals negat  strep miss  long strep treat within 10 day risk acquir rheumat fever minim  go uc today see doc tomorrow  10 day 74,pack hand wound paper gone  hand swollen size egg lot pain  red  tender  go urgent care er 74,nan 74,wound  hand swell  urgent care
75,neurolog constel symptom often result neurolog problem variat migrain  vestibular migrain  especi ct scan sinus normal  howev  conserv diagnosi entertain proper rule big bad possibl like tumor sever progress neurolog infect 75,stop use cocain tri  took 4 hit 10 min start feel heart pound  dizzi  nausea etc 75,facial plastic surgeri 75,nausea  dizzi  pound heartbeat  vertigo  cocain
76,possibl pain often refer ear lower teeth  case use  earach  may also get pain lower jaw  toothach  sometim make ear hurt  physician look ear dentist check mouth  2 abl find caus 76,tmj caus ear pain  sore ear littl discomfort front ear  ear pain deep ach  jaw open crook pop  come  goe 76,abscess  dental care  dental pain  inflamm gum  cosmet dentistri 76,earach  tmj syndrom
77,go back dentist question vagu  answer easi  still problem tooth root canal go back dentist  longer confid origin dentist get second opinion 77,endodontist say dont need root canal  dentist say   pain sensit cold tooth 77,fluorid  child health  lurid  dental care  dentistri  cari  children health  teeth  surgeri  dental cari  abscess  dental sealant  dental health  dental xray  babi bottl tooth decay  dental dam  take antibiot  dental plaqu  teeth brush 77,root canal  endodont
78,possibl infect burn pain radiat axilla suggest may potenti infect breast  whether simpl mastiti inflamm breast true implant infect  realli seen medic profess  case  consult plastic surgeon first step 78,swollen left breast pain  nippl discharg  blood  itch  lymph node armpit tender   see pcp er 78,breast implant  breast augment  liposuct  breast surgeri  botox  breast revis  laser resurfac  bodi contour  juvederm 78,nippl discharg
79,herp transmiss herp simplex virus hsv two types: type general infect mouth produc fever blister  type ii common genit  howev  perform oral sex someon infect hsv ii result oral herp  blood test quick determin yove infect either strain  antivir help reduc shed infect 79,hsv 1  partner 30 year old show hsv 1 igg detect  igm  negat  say cold sore sinc childhood  tramit hsv 1 79,prostat cancer  bph  prostat specif antigen  erectil dysfunct  testosteron  urinari incontin  robot surgeri  treat kidney stone  kidney cancer 79,herp  asymptomat  cold sore  herp simplex 1  immunoglobulin  hsv  low temperatur  virus  children  transmiss
80,mangia  go ahead eat     need starv  use common sens  like disturb wound  stage probabl well past danger period  go ahead eat 80,recommend wisdom teeth xray taken coupl day ago  lowr right area sore  hurt wen eat drink  wut 80,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 80,wisdom teeth
81,hmmmm yod cancer liver  lung  spleen  advic talk oncologist improv qualiti life rather improv tumor marker  know  chemo agent well toler peopl 81,sister got diagnos liver cirrhosi year drink abus prescript medic   alway lead liver cancer 81,hernia  cancer  breast cancer  surgeri  inguin hernia  hiatal hernia  exercis  gallston  laparoscop surgeri  diverticul  egd  skin cancer  melanoma  gi cancer 81,cirrhosi liver  cancer  liver cancer  hospic
82,sound vs xray mammogram use xray imag breast tissu  screen mmgs involv 2 view mlo  cc whole breast  ultrasound use sound wave produc imag breast tissu  area visual depend upon probe place breast influenc angl  fast move around much attent paid screen exam 82,radiologist gyn question: digit mammogram  radiologist see seborrh keratosi breast 3 larg 3 small  know mark suspici 82,breast cancer  cancer  femal health  breast carcinoma  mammogram  tamoxifen  breast biopsi  mri breast  lumpectomi  breast lump remov  mastectomi  breast lump  anastrozol  chemotherapi  surgeri  sonogram  lymphedema  breast abscess  lymph node biopsi  breast diseas 82,keratosi  mammogram  seborrh keratosi  digit mammogram
83,need work max dose time probabl know  lyrica anoth option  see pain specialist cant get relief  may suggest spinal stimul trail 83,sensit biopsi test small fiber neuropathi 83,surgeri  anesthesia  cardiac echo  heart attack  airway obstruct  serial ultrasound  propofol  laparoscop surgeri  transesophag echocardiogram  emerg rescu  critic care  emerg prepared  respiratori failur  emerg medic care 83,neuropathi  nerv damag  fiber  biopsi
84,mri guidelin mri brain spinal cord may show area abnorm signal consist ms must taken context individu clinic cours  object find neurolog exam  better explan forthcom  ms diagnosi support mri find  often addit support spinal fluid abnorm consist diagnosi 84,neuro exam emg  mri brain normal   spinal mri done   weak  shaki leg dizzi lot   balanc   fatigu  fascil  ms gadneuro 84,multipl sclerosi  hand tremor  wound heal  immun 84,dizzi  multipl sclerosi  lethargi  general anxieti disord  mri  mri brain  electromyographi  magnet reson imag
85,could neck doctor check neck problem press nerv go shoulder arm  could also come muscl spasm upper shoulder 85,24 week pregnant  feel like im go passout  k level 3 2  nausea  left arm hurt feel want go numb   concern 85,diabet risk  hepat  hav 85,syncop  pregnanc
86,shouldnt plavix caus bruis easili  interact plavix wellbutrin  increas wellbutrin level  side effect much wellbutrin anxieti  tremor  insomnia  confus seizur  see dr  side effect  possibl take medic monitor 86,anxieti caus dizzi feeli faint without feel im scare panic attack moment 86,depress  schizophrenia  major depress  bipolar disord adult 86,dizzi  feel anxious  syncop  panic disord  panic attack  anxieti  vertigo
87,describ oral cancer hiv infect 87,possibl could oral cancer  would tongu throat hurt time  also ear pain  jaw pain  throat sting hard swallow 87,tooth pain  sleep  amoxil  dental pain  headach  abscess  earach  trismus  dental cari  root canal  surgeri  aspirin  anxieti  halfprin  dentistri  gum diseas  manag tmj  tmj syndrom  sore throat  porcelain veneer 87,sore throat  earach  jaw pain  difficulti swallow  cancer  oral cancer  mouth cancer
88,good news reassur  sometim feel like cant get full breath  sign anxieti  speak doctor stress anxieti issu may 88,mild random chest pain left side chest   usual breast  almost feel like rib  ekg  bw  stress test  echo xray  normal 88,lose weight  botox  well lifestyl  bioident hormon  facial filler 88,chest pain  stress  chest tight  chest pressur  angina  echo  electrocardiogram  roentgen ray  stress test
89,itchi eyes= allergi sneez  headach  congest sore throat sound like cold sinus infect allergi  itchi eye  though  especi wors certain place situat  help distinguish allergi symptom  alway  allergi  otc antihistamin like zyrtec  allegra help cold avoid  sure  sudaf tylenol sinus rins best 89,take fenofibr lipid regul agent thus trigger allergi eg sneez wateri nose red eye itchi tongu preckl ontop 89,asthma  atop dermat  immun defici 89,hypersensit  tricor  lipid  fenofibr  allergi
90,fever sore throat would get strep test complic untreat strep signific  rheuamtic fever  rare endocard  would go urgent care strep test better send cultur   strep caus tonsil   wors infect sore throat coudl also post nasal drip  viral   mycoplasma  reflux  get strep test 90,strep throat symptom swollen tonsil  white spot  sore throat  fever  ach  etc  feel fine 90,nan 90,asymptomat  strep throat  fever  sore throat  swollen tonsil
91,  best test reveal dvt would ultrasound vein leg  bulg vein leg mayb varicos spider vein  though seem young  sometim  pregnanc predispos howev 91,distinguish pain sciatica leg blood cloti get scare pain get hip foot pain similar 2 dvt 91,nan 91,dimer  ultrasound lower extrem vein
92,c md cultur yes may strep throat  see physician health center throat cultur 92,2 week ago swollen gland  post nasal drip  cough  got zpack better  swollen gland back drip  bad throat pain  sea  allergi 92,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 92,cough  sore throat  throat pain  swollen gland  enlarg lymph node  hypersensit  post nasal drip  z pak  enlarg gland  zithromax
93,enlarg lump go back doctor get evalu  feel like enlarg lump  need address despit mammo physic exam show 7 month ago 93,fill month ago  sensit cold  dentist said ok sensit hot also  sound right 93,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 93,cold sensit
94,health anxieti yore way feel better doctor examin  found physic health problem  know health anxieti explain concern  need treatment anxieti  good psychotherapist psychiatrist help time  medic may help  also talk  develop certain anxieti manag skill help  ask dr  referr 94,blood pressur 141 86 puls 76 bad im diabet feel palpit also  differenti heart vs  anxieti 94,nan 94,feel anxious  palpit  blood pressur  anxieti
95,need followup soon sure long symptom present  requir attent soon  may infect resolv  swell could problemat  seek medic help right away 95,start feel overwhelm feel like cant breath lump throat start panic wrong 95,esthet dentistri 95,panic attack  anxieti
96,tri condom vagin vault could dri rub would result itch burn  semen may trigger alter vagina   chemistri  possibl trigger lower immun resist  douch  birth control pill  antibiot  cut  abras  vagin irrit friction intercours  finger fingernail  tampon  might tri lubric condom 96,white milki discharg taken monistat 7 day    im rule yeast infect  could 96,exercis 96,yeast infect  yeast  candida
97,unlik unlik howev persist see doctor exam 97,headach  fatigu  cramp  bloat  constip  tender nippl  back pain  dizzi  last period start june 3  pregnant 97,breast cancer  breast diseas  breast needl biopsi  breast red  breast ach 97,constip  back pain  dizzi  headach  lethargi  menstrual cycl  pain back  pregnanc  vertigo
98,tmj pain right open mouth wide  tri  eat soft diet  seen anyon evalu treat tmj import  ou treat 98,side jaw hurt right ear  cannot open mouth way plus sound like sand insid could tmj 98,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 98,tmj syndrom
99,probabl like plantar fasciiti  stress fractur heel occur  usual heal within 610 week  x ray abl tell sure 99,father leg becam red hot swollen knee hurt  dr  said bitten someth  could caus 99,foot arthriti  achill tendon  ankl arthriti  ankl fractur  posterior tibial tendon dysfunct 99,nan
100,damag muscl childbirth traumat muscl nerv surround bladder  vagina rectum  nerv damag small tear muscl lead prolaps incontin women  noth embarrass  common fixabl 100,part kid stress incontin 100,contracept  hysterectomi  sexual transmit diseas  urinari incontin  menorrhagia  teen pregnanc  endometri ablat  high risk pregnanc  hysteroscopi  essur 100,stress  stress incontin  urinari incontin  leak urin  incontin  children  stress urinari incontin  loss bladder control  run
101,go er pleas take son hospit 101,small bump gum underneath tooth  look like blister month  hurt chang size 101,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 101,nan
102,neck evalu ponch nerv neck c6 nerv root would bbe disc herniat c56 102,sleep heavili medic  numb upper left arm 1 5 day nonstop  type 1 diabet  ned see doc wait 102,backach  scoliosi  back pain  pain back  sciatica  abnorm curvatur spine  bulg disk  spinal fusion  spinal stenosi 102,numb  sleep
103,like even took longer heal hole sinus infect  like would persist swollen lymph node  assum eventu fact heal  especi true experienc symptom sinc 10 month  doesnt rule swollen lymph node anoth separ dental infect  recent cold 103,drs check stds gonorrhea chlamydia cbc order 103,dental health  dentistri  tooth pain  fals teeth  teeth clean  abscess  oral health  oral surgeri  dental cari  dental implant  dental anxieti 103,sexual transmit diseas  gonorrhea  chlamydia infect  chlamydia trachomati   complet blood count  chlamydia gonorrhea  cbc
