0,salin suction  safest effect treatment salin nose drop suction  elev head crib use humidifi help   cold cough medicin proven ineffect serious side effect  fda take market gradual  doesnt help  child need see doctor see cold 0,use salt water nasal spray help prevent develop perfor septum 0,asthma  development delay  prematur babi  eczemat rash 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
78,number    process caus happen  relat infect  issu  see doctor  hope thing ok 78,swollen left breast pain  nippl discharg  blood  itch  lymph node armpit tender   see pcp er 78,vaccin  aid  viral hepat  biodefens bioterror  foodborn ill 78,nippl discharg
79,see herp simplex common virus found human  two main type  refer type type ii  igg stand immunoglobulin g   antibodi found human bodi  igm immunoglobulin   anoth antibodi  show earli infect use differenti certain type infect 79,hsv 1  partner 30 year old show hsv 1 igg detect  igm  negat  say cold sore sinc childhood  tramit hsv 1 79,sleep  sleep apnea  abscess  tooth pain  snore  apnea  cosmet dentistri  cold sore  herp simplex  canker sore  dental cari  malocclus  dental care  oral surgeri  diagnost servic 79,herp  asymptomat  cold sore  herp simplex 1  immunoglobulin  hsv  low temperatur  virus  children  transmiss
80,patient common experi pain swell wisdom tooth extract  may last 710 day  experi sever pain swell 7 day tooth remov  visit dentist rule complic 80,recommend wisdom teeth xray taken coupl day ago  lowr right area sore  hurt wen eat drink  wut 80,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 80,wisdom teeth
81,sometim test done look elast fat content liver  often done combin blood work  understand liver normal sever problem test reliabl  may good case  avoid invas test liver biopsi  obes patient abdomin fluid candid 81,sister got diagnos liver cirrhosi year drink abus prescript medic   alway lead liver cancer 81,skin rash  loos stool  nutrit  yeast infect  pain manag  telemedicin  sedat dentistri 81,cirrhosi liver  cancer  liver cancer  hospic
82,even done men certain circumst 82,radiologist gyn question: digit mammogram  radiologist see seborrh keratosi breast 3 larg 3 small  know mark suspici 82,cancer  breast cancer  skin cancer  breast carcinoma  melanoma  laparoscop surgeri  inflamm thyroid  adren tumor  thyroid cancer  pheochromocytoma  thyroid nodul  breast lump 82,keratosi  mammogram  seborrh keratosi  digit mammogram
83,yes autonom abnorm link sleep apnea  especi central sleep apnea  read here: http:  www ncbi nlm nih gov pubm 15195047 http:  www sleepjourn com articl s1389945706001961 abstract 83,sensit biopsi test small fiber neuropathi 83,sleep apnea  pediatr  obstruct sleep apnea  cosmet dentistri  dental care  esthet dentistri  dental pain  dental implant 83,neuropathi  nerv damag  fiber  biopsi
84,test ms singl test help diagnos elimin ms  normal mri howev strong vote ms caus  floater eye dizzi strong sign ms either  tingl hand mani caus  exampl  high blood sugar caus symptom  carpal tunnel syndrom may caus symptom hand  doubt ms caus  keep look 84,neuro exam emg  mri brain normal   spinal mri done   weak  shaki leg dizzi lot   balanc   fatigu  fascil  ms gadneuro 84,seizur  multipl sclerosi  neuropathi  nerv damag  live al 84,dizzi  multipl sclerosi  lethargi  general anxieti disord  mri  mri brain  electromyographi  magnet reson imag
85,r mening could mening viral syndrom 85,24 week pregnant  feel like im go passout  k level 3 2  nausea  left arm hurt feel want go numb   concern 85,surgeri  sleep  zyrtec  cetirizin  eye health  pink eye  child allergi  itchi eye  hypersensit  allergi  lasik  iriti  scar  nausea  numb  scar 85,syncop  pregnanc
86,also tri relax understand must worri mood chang  would like babi might suffer medic   made good decis  would advis tri cognit behavio therapi  emphasi learn relax posit think  welcom child great motiv give  glad agre therapi 86,anxieti caus dizzi feeli faint without feel im scare panic attack moment 86,nan 86,dizzi  feel anxious  syncop  panic disord  panic attack  anxieti  vertigo
87,sore throat symptom sound like serious throat infect virus  stiff neck could indic serious infect occur  pleas evalu primari care physician urgent care er soon possibl 87,possibl could oral cancer  would tongu throat hurt time  also ear pain  jaw pain  throat sting hard swallow 87,throat pain  sore throat  headach  heartburn  back pain  earach  stiff neck  diarrhea  nutrit  loos stool  pain back  burn  abscess  dizzi  indigest  cough  incontin  urinari urgenc  roentgen ray  blister 87,sore throat  earach  jaw pain  difficulti swallow  cancer  oral cancer  mouth cancer
88,famili pract chest pain rapid hr probabl need seen  rest ekg isnt 100 percent  need stress test possibl test play 88,mild random chest pain left side chest   usual breast  almost feel like rib  ekg  bw  stress test  echo xray  normal 88,pain back  inhal 88,chest pain  stress  chest tight  chest pressur  angina  echo  electrocardiogram  roentgen ray  stress test
89,allergi sound like allergi  like correct  especi season  someth environ  like bloom time year 89,take fenofibr lipid regul agent thus trigger allergi eg sneez wateri nose red eye itchi tongu preckl ontop 89,cataract  cataract surgeri  glaucoma  dri eye  ophthalmolog  cataract remov  retin disord  eyelid surgeri  corneal opac 89,hypersensit  tricor  lipid  fenofibr  allergi
90,c md cultur yes may strep throat  see physician health center throat cultur 90,strep throat symptom swollen tonsil  white spot  sore throat  fever  ach  etc  feel fine 90,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 90,asymptomat  strep throat  fever  sore throat  swollen tonsil
91,multipl caus see pcp guid arteri  venous  musculoskelet  see vascular surgeon spend time dollar unnecessari test 91,distinguish pain sciatica leg blood cloti get scare pain get hip foot pain similar 2 dvt 91,heart attack  myocardi infarct  deep venous thrombosi  coronari arteri diseas  aortic aneurysm  cardiovascular diseas  coronari arteri bypass graft  thorac neoplasm  peripher vascular diseas  thorac surgeon  venous insuffici  thorac outlet syndrom  thoracotomi  carotid duplex  carotid arteri stenosi  carotid arteri diseas  ultrasound extrem vein  cardiac bypass  cardiac pace  carotid bruit 91,dimer  ultrasound lower extrem vein
92,public site read specif relationship healthtap  notic public site like inform forum  public site diagnosi treatment individu condit   request site doc send medicin inappropri doc answer question advis consult doc local care appropri 92,2 week ago swollen gland  post nasal drip  cough  got zpack better  swollen gland back drip  bad throat pain  sea  allergi 92,child health  chickenpox  ear infect  sleep hygien  learn disord 92,cough  sore throat  throat pain  swollen gland  enlarg lymph node  hypersensit  post nasal drip  z pak  enlarg gland  zithromax
93,see doc hard tell without see could refer pain problem throat  see ent doc 93,fill month ago  sensit cold  dentist said ok sensit hot also  sound right 93,thyroid enlarg  voic disord  laryngolog  thyroidectomi  vocal cord paralysi  grave diseas  electron health record  thyroid surgeri  remov tonsil 93,cold sensit
94,antianxieti med tri sleep anti anxieti medic may want ask doctor candid medic  natur agent may help sleep    particular valerian root melatonin  tart cherri juic suppos high level melatonin 94,blood pressur 141 86 puls 76 bad im diabet feel palpit also  differenti heart vs  anxieti 94,pet scan  nuclear medicin  osteoporosi  nuclear stress test  pet alzheim diseas 94,feel anxious  palpit  blood pressur  anxieti
95,panic attack symptom  occur panic attack   panic attack seem come blue  other may environment trigger  would also import know whether physic violenc happen fight   husband might benefit coupl counsel disagr dont get point  may help see doctor 95,start feel overwhelm feel like cant breath lump throat start panic wrong 95,nan 95,panic attack  anxieti
96,could vagin discharg requir examin determin caus treatment  bacteri vaginosi common caus often vagin odor  vagin itch sign yeast infect  sometim vagin discharg sign sexual transmit infect  test import determin treatment keep partner safe 96,white milki discharg taken monistat 7 day    im rule yeast infect  could 96,contracept  hysterectomi  sexual transmit diseas  urinari incontin  menorrhagia  teen pregnanc  endometri ablat  high risk pregnanc  hysteroscopi  essur 96,yeast infect  yeast  candida
97,sure dont period soon get pregnanc test done 97,headach  fatigu  cramp  bloat  constip  tender nippl  back pain  dizzi  last period start june 3  pregnant 97,dysenteri 97,constip  back pain  dizzi  headach  lethargi  menstrual cycl  pain back  pregnanc  vertigo
98,sure    might associ infect tooth gum  know sure  yoll visit local dentist  make call appoint 98,side jaw hurt right ear  cannot open mouth way plus sound like sand insid could tmj 98,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 98,tmj syndrom
99,unusu normal see red lower leg associ pain cellul circul   may allerg reaction someth  see doctor 99,father leg becam red hot swollen knee hurt  dr  said bitten someth  could caus 99,bunion  diabet foot  ankl fractur  foot surgeri  ankl surgeri  ankl disord 99,nan
100,yes pelvic prolaps urinari incontin two distinct entiti often occur togeth  circumst pelvic prolaps reduc urinari incontin due increas urethr pressur  surgeon often discuss issu futur incontin treat prolaps  complet pelvic floor evalu import plan surgeri avoid issu 100,part kid stress incontin 100,incontin  pain bladder syndrom  urinari incontin  menorrhagia  vagin prolaps  pelvic support problem 100,stress  stress incontin  urinari incontin  leak urin  incontin  children  stress urinari incontin  loss bladder control  run
101,check see doc check 101,small bump gum underneath tooth  look like blister month  hurt chang size 101,depress  nutrit 101,nan
102,could neck doctor check neck problem press nerv go shoulder arm  could also come muscl spasm upper shoulder 102,sleep heavili medic  numb upper left arm 1 5 day nonstop  type 1 diabet  ned see doc wait 102,diabet risk  hepat  hav 102,numb  sleep
103,nope  dont worri  stds caus germ pass one person anoth  sex doesnt creat stds  neither partner std sex occur  neither one get std  cours either person sex someon els  might bring std relationship  happen without know std  way stds sometim appear monogam coupl 103,drs check stds gonorrhea chlamydia cbc order 103,chlamydia infect  sexual transmit diseas  sexual transmit infect  human immunodefici virus  gonorrhea  hsv type 1 2  trichomona  hsv  syphili  bacteri vaginosi vagin panel  urethr  std prevent  hiv prevent 103,sexual transmit diseas  gonorrhea  chlamydia infect  chlamydia trachomati   complet blood count  chlamydia gonorrhea  cbc
104,psychotherapi yes  combin medic  studi show togeth work better either alon 104,side effect switch neurontin lyrica 104,panic attack  eat disord  post traumat stress disord  poor nutrit  vitamin defici  anxieti disord  race mind 104,neurontin  lyrica  gabapentin
105,barrier method iud  condom  diaphragm  spermicid  vasectomi littl system side effect 105,poor postur tens asleep grind teeth night  possibl lupus depress slight low iron determin caus fatigu weak 105,sex educ  sex therapi  botox  acn  bioident hormon 105,depress  lethargi  system lupus erythematosus  iron
106,usual  depend cours prednison may instanc provid relief sciatica pain  experi relief complet cours  speak doctor treatment option  includ physic therapi possibl epidur steroid inject 106,itchi red pustul scalp go hair salon 6 yrs ago bodi except face allergi folliculti allergi med  prednison help 106,sciatica  back pain  pain back  steroid  epidur steroid inject  anesthesia  herniat disk  pain manag  backach  opiat  slip disc  reflex sympathet dystrophi 106,red pustul  pustul  hypersensit  liquid pred  prednison  deltason  allergi
107,see neurologist headach sever episod  could migrain  particular  visual symptom flash like sensit light  neurologist abl help diagnosi treat  may also need addit brain imag studi like mri scan depend neurologist find physic exam histori 107,week migrain headach normal triggeredbi certain foofood  direct sunlight  manag induc vomit drink warm water  skip 2 meal 107,cancer  brain injuri  arterioven malform  glioblastoma  tbi 107,vomit  headach  migrain headach  migrain  emesi
108,depend effect concuss vari unpredict  depend sever injuri  symptom includ headach  dizzi  vision chang blur vision  doubl vision  nausea vomit  symptom headach sever  loss conscious  get evalu immedi 108,sharp  last pain front back head  dizzi  vertigo  nausea vomit  ongo month  sinus  help 108,migrain  epilepsi  common migrain  eeg  motor tic  infantil spasm 108,dizzi  nausea  nausea vomit  emesi  vertigo
