0,need evalu descript symptom may due postop infect hematoma  followup dentist oral maxillofaci surgeon would strong recommend proper diagnosi treatment correct problem 0,use salt water nasal spray help prevent develop perfor septum 0,wisdom tooth extract 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
73,realli pimpl question whether realli pimpl  worri may expos std  seek care gynecologist thorough examin  test good convers risk factor  consid choic make sexual express  alway honor respect  worth 73,fear get lukemia lung cancer one chest ct scan one month ago  danger ct scan get cancer 73,sore throat  voic disord  throat pain  remov tonsil  hoars  difficulti swallow  laryng  larynx cancer  ear nose throat 73,cancer  leukemia  lung cancer  ct chest  comput tomographi  ct scan
74,headach  hair headach top head hair pain common muscular contract headach must dealt neuromuscular orient  dental bite must set proper vertic dimens most trigger point splenious capitus scm muscl must treat proper  like travel trigger point techniqu help patient 30 year 74,pack hand wound paper gone  hand swollen size egg lot pain  red  tender  go urgent care er 74,tmj syndrom  cosmet dentistri  orthodont  dental laser  dental implant 74,wound  hand swell  urgent care
75,yes symptom lupus rheumatoid arthriti similar well differ  nonetheless  possibl either despit negat ra lupus test  medic test ever 100% accur everi time fals posit fals negat  medicin  say  treat patient  lab result  howev  keep explor poss diagnos 75,stop use cocain tri  took 4 hit 10 min start feel heart pound  dizzi  nausea etc 75,exercis  backach  depress  obes  dyslipidemia 75,nausea  dizzi  pound heartbeat  vertigo  cocain
76,flu like syndrom time yer  probabl flu  see doctor give proper diagnosi simpl test give anti viral medic 76,tmj caus ear pain  sore ear littl discomfort front ear  ear pain deep ach  jaw open crook pop  come  goe 76,children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi 76,earach  tmj syndrom
77,reason 2 think im sorri loss  peopl agenda tri find danger cannabi mani decad littl success front mutagen sperm im sorri anyon suggest  thing hard enough right without blame  im glad  high life perhap without even need weed make silli 77,endodontist say dont need root canal  dentist say   pain sensit cold tooth 77,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 77,root canal  endodont
78,see orthopedist evalu ankl knee 78,swollen left breast pain  nippl discharg  blood  itch  lymph node armpit tender   see pcp er 78,plantar fasciiti  diabet foot  neuroma 78,nippl discharg
79,mayb depend long surgeri bad nerv damag surgeri pressur  mani surgeon give local anesthet mayb numb sever day local  nerv sever damag prior surgeri  take longer recov tingl often sign nerv recov  may last year 79,hsv 1  partner 30 year old show hsv 1 igg detect  igm  negat  say cold sore sinc childhood  tramit hsv 1 79,carpal tunnel syndrom  carpal tunnel releas  numb  arthriti  surgeri  hand bone fractur  broken bone  hand tendon injuri  congenit abnorm 79,herp  asymptomat  cold sore  herp simplex 1  immunoglobulin  hsv  low temperatur  virus  children  transmiss
80,t1c stage mean bigger  clear indic antihormon tamoxifen anastrazol  might consid oncotyp test tissu discern benefit chemo  would take regardless result  dont wast money 80,recommend wisdom teeth xray taken coupl day ago  lowr right area sore  hurt wen eat drink  wut 80,lung cancer  radiat therapi  small cell lung cancer 80,wisdom teeth
81,increas neurolog compress spinal cord occur due spinal stenosi  often caus pain back leg  progress muscl weak  weaker leg paralysi treat time  need see neurologist neurosurgeon guid manag problem 81,sister got diagnos liver cirrhosi year drink abus prescript medic   alway lead liver cancer 81,breast cancer  oncolog  malign melanoma 81,cirrhosi liver  cancer  liver cancer  hospic
82,possibl could number thing  new  need evalu soon possibl 82,radiologist gyn question: digit mammogram  radiologist see seborrh keratosi breast 3 larg 3 small  know mark suspici 82,massag  sport injuri  sport fit  workplac health  adolesc develop  sport safeti  sport medicin  male genit disord  gynecomastia  occup injuri  adolesc health  medic clearanc sport  occup health  testicular disord  occup exposur  sport activ  sport recreat 82,keratosi  mammogram  seborrh keratosi  digit mammogram
83,possibl sinus infect caus upper teeth hurt  especi back one  combin symptom would think rather bad cold combin sinus infect  would visit doctor asap evalu 83,sensit biopsi test small fiber neuropathi 83,fluorid  child health  lurid  dental care  dentistri  cari  children health  teeth  surgeri  dental cari  abscess  dental sealant  dental health  dental xray  babi bottl tooth decay  dental dam  take antibiot  dental plaqu  teeth brush 83,neuropathi  nerv damag  fiber  biopsi
84,mani symptom pleas someon take nearest emerg facil soon possibl 84,neuro exam emg  mri brain normal   spinal mri done   weak  shaki leg dizzi lot   balanc   fatigu  fascil  ms gadneuro 84,metabol bone diseas 84,dizzi  multipl sclerosi  lethargi  general anxieti disord  mri  mri brain  electromyographi  magnet reson imag
85,iron defici mild anemia due iron defici anemia worsen cant toler iron pill  get iron given intramuscular intraven  dont feel mild anemia warrant inject therapi time  make sure b12 folic acid level suffici import get list iron rich food red meat 85,24 week pregnant  feel like im go passout  k level 3 2  nausea  left arm hurt feel want go numb   concern 85,nan 85,syncop  pregnanc
86,shouldnt hydrocelectomi relat benign common procedur perform outpati surgeri  affect function long term  risk surgeri includ bleed  infect  damag structur nearbi testicl 86,anxieti caus dizzi feeli faint without feel im scare panic attack moment 86,male health  cancer  shockwav lithotripsi kidney stone  prostat cancer  circumcis  alprostadil  stent  free total psa  incontin  bph  kidney stone remov  reproduct urolog  urinari tract infect 86,dizzi  feel anxious  syncop  panic disord  panic attack  anxieti  vertigo
87,temporari effect nasal steroid work use  steroid shrink inflam tissu stop turbul airflow caus snore 87,possibl could oral cancer  would tongu throat hurt time  also ear pain  jaw pain  throat sting hard swallow 87,nan 87,sore throat  earach  jaw pain  difficulti swallow  cancer  oral cancer  mouth cancer
88,lump sound like long wait  tri call differ mammo center  like find one take much sooner 88,mild random chest pain left side chest   usual breast  almost feel like rib  ekg  bw  stress test  echo xray  normal 88,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 88,chest pain  stress  chest tight  chest pressur  angina  echo  electrocardiogram  roentgen ray  stress test
89,fever  high sinc viral infect often trigger exacerb patient asthma  fever associ viral infect common fever asthma  atelectasi lung segment deflat may occur asthma  associ fever  fever high respiratori symptom dont respond medic expect get contact physician ruleout pneumonia 89,take fenofibr lipid regul agent thus trigger allergi eg sneez wateri nose red eye itchi tongu preckl ontop 89,asthma  child allergi  allerg reaction 89,hypersensit  tricor  lipid  fenofibr  allergi
90,right leg understand  abnorm find one leg  could mono neuriti multiplex  lesion sciatic nerv piriformi syndrom  diabet get metabol unilater radiculopathi amyotrophi  search true locat causat inde fruit 90,strep throat symptom swollen tonsil  white spot  sore throat  fever  ach  etc  feel fine 90,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 90,asymptomat  strep throat  fever  sore throat  swollen tonsil
91,bad idea general call testosteron poison diseas although femal occasion probabl broke   common one littl finger knuckl usual big deal  unfortun middl finger usual wors   go get check need xray 91,distinguish pain sciatica leg blood cloti get scare pain get hip foot pain similar 2 dvt 91,vitamin defici  vitamin  osteoporosi  total knee replac  foot surgeri  joint replac surgeri 91,dimer  ultrasound lower extrem vein
92,pain control see doctor assess tomorrow  unabl swallow pain swell increas seen sooner  best feel better 92,2 week ago swollen gland  post nasal drip  cough  got zpack better  swollen gland back drip  bad throat pain  sea  allergi 92,skin rash  loos stool  nutrit  yeast infect  pain manag  telemedicin  sedat dentistri 92,cough  sore throat  throat pain  swollen gland  enlarg lymph node  hypersensit  post nasal drip  z pak  enlarg gland  zithromax
93,yes one approach two week med alcohol normal  good   check hepat b  c  autoimmun hepat  hemochromatosi  mayb wilson order  return normal  tri fit lifestyl manag liver diseas folk get that best manag exercis  cheer 93,fill month ago  sensit cold  dentist said ok sensit hot also  sound right 93,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 93,cold sensit
94,mono time contact symptom 48 week  hope help feel better soon  best 94,blood pressur 141 86 puls 76 bad im diabet feel palpit also  differenti heart vs  anxieti 94,skin rash  loos stool  nutrit  yeast infect  pain manag  telemedicin  sedat dentistri 94,feel anxious  palpit  blood pressur  anxieti
95,wash sheet sheet wash like sheet  deterg hot water  goe pillow cover well  mrsa neck  sourc may like either shave els  pressur tie caus ingrown hair  even sourc address  recurr infect merit outpati consult id derm specialist 95,start feel overwhelm feel like cant breath lump throat start panic wrong 95,antibiot  lyme diseas  chronic fatigu syndrom  mening  chronic fatigu  pneumonia  infecti diseas  csf cultur  mrsa  interstiti pneumonia  foodborn ill  ebola virus  mycobacterium avium intracellular  hiv aid 95,panic attack  anxieti
96,it#x27 simpl see dentist train evalu type thing  train cant expect accur determin whether tooth infect  that true regardless whatev describ internet  must know  swell  pain  red  heat fever typic sign infect 96,white milki discharg taken monistat 7 day    im rule yeast infect  could 96,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 96,yeast infect  yeast  candida
97,like due tooth teeth infect gum infect  infect requir treatment  pill wont cure  neither hope problem self correct  pleas call dentist 97,headach  fatigu  cramp  bloat  constip  tender nippl  back pain  dizzi  last period start june 3  pregnant 97,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 97,constip  back pain  dizzi  headach  lethargi  menstrual cycl  pain back  pregnanc  vertigo
98,possibl yeast infec itch swollen labia majora usual due fungal infect area   see doctor get treatment 98,side jaw hurt right ear  cannot open mouth way plus sound like sand insid could tmj 98,allergi 98,tmj syndrom
99,depo delay delay return period uncommon depo provera  unlik lack mens what caus pain previous normal menstruat histori infect dilat curettag 99,father leg becam red hot swollen knee hurt  dr  said bitten someth  could caus 99,femal health  contracept  ovul  mens  fertil  healthi pregnanc  yeast infect  oral contracept  sexual transmit diseas  home pregnanc test  pregnanc loss  tri conceiv  get pregnant  polycyst ovarian syndrom  sexual transmit infect  pap smear  intrauterin devic  first trimest pregnanc  pelvic inflammatori diseas  endometriosi 99,nan
