0,nasal septal perf alreadi issu nasal septum put risk develop septal perfor  use salin nasal spray necessarili prevent perfor occur  done alreadi  see ent evalu treatment caus  may prevent perfor 0,use salt water nasal spray help prevent develop perfor septum 0,tonsillectomi adenoidectomi  xeomin  chemic laser treatment melasma  sleep disturb childhood 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
73,unlik radiat  low risk one ct 73,fear get lukemia lung cancer one chest ct scan one month ago  danger ct scan get cancer 73,heart attack  myocardi infarct  deep venous thrombosi  coronari arteri diseas  aortic aneurysm  cardiovascular diseas  coronari arteri bypass graft  thorac neoplasm  peripher vascular diseas  thorac surgeon  venous insuffici  thorac outlet syndrom  thoracotomi  carotid duplex  carotid arteri stenosi  carotid arteri diseas  ultrasound extrem vein  cardiac bypass  cardiac pace  carotid bruit 73,cancer  leukemia  lung cancer  ct chest  comput tomographi  ct scan
74,er urgent care yes  emerg room look hand 74,pack hand wound paper gone  hand swollen size egg lot pain  red  tender  go urgent care er 74,diabet  addict medicin  depress  hyperlipidemia  geriatr  hypertens 74,wound  hand swell  urgent care
75,addict well stop  need stop  good time  cocain  know  addict would well get medic approv rehab better improv chanc stop forev  best wish 75,stop use cocain tri  took 4 hit 10 min start feel heart pound  dizzi  nausea etc 75,urinari tract infect 75,nausea  dizzi  pound heartbeat  vertigo  cocain
76,tmj ear pain describ suggest tmj inflamm especi malocclus  teeth dont fit proper  take ibuprofen pain  avoid chew gum  avoid strain jaw yawn  like need dental split applianc prescrib creat dentist minim joint hypermobl  see dentist soon 76,tmj caus ear pain  sore ear littl discomfort front ear  ear pain deep ach  jaw open crook pop  come  goe 76,acn  cosmet surgeri  swallow disord  hoars  head neck cancer 76,earach  tmj syndrom
77,pain cold pain sensit cold often symptom fractur fill  fractur tooth  bruxism chronic teeth grind clench  gum recess  cervic abfract deep groov tooth gumlin   fractur tooth would normal requir root canal  endodontist say dentist solut  get second opinion 77,endodontist say dont need root canal  dentist say   pain sensit cold tooth 77,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 77,root canal  endodont
78,pcp pcp  chanc er send pcp acut sick otherwis  unabl get fast  would recommend urgent care 78,swollen left breast pain  nippl discharg  blood  itch  lymph node armpit tender   see pcp er 78,hospit  gastroenterolog  geriatr  hematolog  palliat care 78,nippl discharg
79,yes although much higher amount virus found time lesion cold sore present  asymptomat shed hsv1 certain occur seroposit peopl  shed result transmiss  peopl  time reach adulthood  seroposit 79,hsv 1  partner 30 year old show hsv 1 igg detect  igm  negat  say cold sore sinc childhood  tramit hsv 1 79,vaccin  aid  viral hepat  biodefens bioterror  foodborn ill 79,herp  asymptomat  cold sore  herp simplex 1  immunoglobulin  hsv  low temperatur  virus  children  transmiss
80,ask dentist xray taken wisdom teeth  symptom associ lower right area pain eat drink suggest problem need immedi attent  problem relat wisdom tooth anoth dental problem area  dentist address problem refer specialist treatment 80,recommend wisdom teeth xray taken coupl day ago  lowr right area sore  hurt wen eat drink  wut 80,wisdom tooth extract 80,wisdom teeth
81,usual doesnt  howev  stop drink  dead cancer  alreadi know noth chang  glad abl get life togeth seek  best wish 81,sister got diagnos liver cirrhosi year drink abus prescript medic   alway lead liver cancer 81,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 81,cirrhosi liver  cancer  liver cancer  hospic
82, ordinarili  seborrh keratos visual mammographi  digit otherwis  dermatologist tell  sometim glanc 82,radiologist gyn question: digit mammogram  radiologist see seborrh keratosi breast 3 larg 3 small  know mark suspici 82,medic oncolog  pain manag  hematolog  palliat care  hospic care 82,keratosi  mammogram  seborrh keratosi  digit mammogram
83,pretti good overal test pretti good  may small issu threshold diagnosi howev overal sensit 83,sensit biopsi test small fiber neuropathi 83,nan 83,neuropathi  nerv damag  fiber  biopsi
84,symptom  test nl nl=normal tough explain caus symptom  especi normal mri brain  neuro exam emg  blood test symptom probabl miss clue somewher  clear neck  anxieti caus  hard prove 84,neuro exam emg  mri brain normal   spinal mri done   weak  shaki leg dizzi lot   balanc   fatigu  fascil  ms gadneuro 84,seizur  multipl sclerosi  neuropathi  nerv damag  live al 84,dizzi  multipl sclerosi  lethargi  general anxieti disord  mri  mri brain  electromyographi  magnet reson imag
85,merit evalu import determin caus low potassium level nausea nearfaint need examin includ check blood pressur sit stand symptom warrant thorough histori physic exam 85,24 week pregnant  feel like im go passout  k level 3 2  nausea  left arm hurt feel want go numb   concern 85,dizzi  chest pain  hypertens  abnorm blood pressur  numb  hypotens  angina  femal health  cardiac arrhythmia  low blood pressur  heart palpit  chest tight  cancer  aneurysm  chest pressur  essenti hypertens  coronari arteri diseas 85,syncop  pregnanc
86,yes peopl panic disord may full blown attack anxieti associ physic symptom time  especi true patient use compensatori psychosoci skill  symptom describ occur anxieti disord  get evalu ensur symptom medic condit 86,anxieti caus dizzi feeli faint without feel im scare panic attack moment 86,depress  anxieti  bipolar disord  child health  feel anxious  psychiatri  adhd  eat disord  manic depress disord  adderal  amoxapin  nervous  bulli 86,dizzi  feel anxious  syncop  panic disord  panic attack  anxieti  vertigo
87,need evalu feasibl provid meaning opinion without take addit histori  physic examin may test  would prudent see doctor symptom warrant evalu 87,possibl could oral cancer  would tongu throat hurt time  also ear pain  jaw pain  throat sting hard swallow 87,cancer  nutrit  cervic cancer  ovarian cancer 87,sore throat  earach  jaw pain  difficulti swallow  cancer  oral cancer  mouth cancer
88,mayb rib test mention negat good  seem rule cardiac condit  mayb rib issu costochondr  best wish 88,mild random chest pain left side chest   usual breast  almost feel like rib  ekg  bw  stress test  echo xray  normal 88,urinari tract infect 88,chest pain  stress  chest tight  chest pressur  angina  echo  electrocardiogram  roentgen ray  stress test
89,ok appear like allerg medic  avoid futur let dr  pharmacist know allergi  may want also take benadryl diphenhydramin symptom improv  even med deem necessari 89,take fenofibr lipid regul agent thus trigger allergi eg sneez wateri nose red eye itchi tongu preckl ontop 89,urinari tract infect 89,hypersensit  tricor  lipid  fenofibr  allergi
90,yes 90,strep throat symptom swollen tonsil  white spot  sore throat  fever  ach  etc  feel fine 90,polycyst ovarian syndrom  diabet  endocrinolog  thyroid  diabet  rotterdam polycyst ovarian syndrom pcos panel  thyroid 90,asymptomat  strep throat  fever  sore throat  swollen tonsil
91,general cant unless fever swollen limb may suggest clot sciatica otherwis specif  would suggest rule clot first workup sciatica issu afterward 91,distinguish pain sciatica leg blood cloti get scare pain get hip foot pain similar 2 dvt 91,sciatica  pain back  epidur steroid inject  osteoarthr  neck pain  migrain  botox  mri spine  radiofrequ ablat  rhizotomi  complex region pain syndrom  lumbar facet inject  stem cell therapi  nerv injuri  lumbar facet rhizotomi  xray spine  lumbar sympathet block  stellat ganglion block  percutan discectomi 91,dimer  ultrasound lower extrem vein
92,allergi might allergi tri otc medic allergi like claritind plain claritin along steroid nasal spri tri salin nasal spri see work  gland still inflam need see pcp allergist 92,2 week ago swollen gland  post nasal drip  cough  got zpack better  swollen gland back drip  bad throat pain  sea  allergi 92,joint pain  diabet type 2  ldl  adult obes  insomnia 92,cough  sore throat  throat pain  swollen gland  enlarg lymph node  hypersensit  post nasal drip  z pak  enlarg gland  zithromax
93,sound right    restor may deep  dentist would know sure  ask 93,fill month ago  sensit cold  dentist said ok sensit hot also  sound right 93,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 93,cold sensit
94,upper blood pressur read systol littl bit elev  puls fine  medic evalu use differenti anxieti vs medic caus  see suffer anxieti disord take xanax 94,blood pressur 141 86 puls 76 bad im diabet feel palpit also  differenti heart vs  anxieti 94,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 94,feel anxious  palpit  blood pressur  anxieti
95,sound like anxieti  might even panic attack  panic attack often last 2 10 min  possibl sx   s: sever anxieti panic  chest tight pain  rapid pound heartbeat  area numb pin  needl type sensat  hot flash chill  ^ perspir  may tickl sensat stomach nausea  feel dizzi faint  physic shake  person may fear go 95,start feel overwhelm feel like cant breath lump throat start panic wrong 95,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 95,panic attack  anxieti
96,vagin c tough say without exam test  yeast infect resist monisat may need stronger rx med 96,white milki discharg taken monistat 7 day    im rule yeast infect  could 96,urinari tract infect 96,yeast infect  yeast  candida
97,home pregnanc test  see doctor definit answer  that fastest answer discuss symptom  plus  peac mind know truth  good luck 97,headach  fatigu  cramp  bloat  constip  tender nippl  back pain  dizzi  last period start june 3  pregnant 97,back pain  nutrit  pain back  healthi vegetarian diet  post traumat stress disord  second trimest pregnanc  hip pain  healthi pregnanc  fibromyalgia  holist medicin  titan light therapi  chronic fatigu syndrom  vitamin defici  laser genesi 97,constip  back pain  dizzi  headach  lethargi  menstrual cycl  pain back  pregnanc  vertigo
98,displac disc limit open  also call trismus  persist  may displac disc tmj  crepitus clinic sign consist arthriti  tmj mri would reveal problem  see boardcertifi oral maxillofaci surgeon proper evalu treatment  get well soon 98,side jaw hurt right ear  cannot open mouth way plus sound like sand insid could tmj 98,tmj syndrom  tmj surgeri  oral surgeri  mri tmj  protrud jaw  wisdom tooth extract  dental implant  rhinoplasti  chin implant  chin augment  chin liposuct  facial implant  chin reduct  open repair jawbon fractur  larg jaw  open repair orbit blowout fractur  underdevelop upper jaw bone  open repair cheekbon fractur  tmj mri arthrogram  open repair palat maxillari fractur 98,tmj syndrom
99,develop infect bite cellul 99,father leg becam red hot swollen knee hurt  dr  said bitten someth  could caus 99,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 99,nan
100,stress incontin stress incontinence: leak urin activ  cough  sneez  occur weak ligament support urethra  occur damag ligament pregnanc childbirth patient get strain heavi lift  happen everyon  www voicesforpfd org 100,part kid stress incontin 100,incontin  pelvic pain  vagin  live urinari incontin  vaginismus  vulvodynia  bacteri vaginosi vagin panel  bladder pain  manag interstiti cystiti ic  urinari urgenc  frequent urin  fecal incontin adult  bladder control  rectal prolaps 100,stress  stress incontin  urinari incontin  leak urin  incontin  children  stress urinari incontin  loss bladder control  run
101,fistula describ sound like fistula drainag track infect tooth  dentist confirm xray gutta percha place gum pimpl  wouldnt hurt pressur vent thru pimpl  infect danger overal health  dentist help treat problem font wait crisi 101,small bump gum underneath tooth  look like blister month  hurt chang size 101,dental implant  child health  gum diseas  cari  gingiv  cosmet dentistri  dental care  dental cari  cosmet  teeth whiten  inflamm gum  dental health  teeth  eat healthier  malocclus  diabet type 1  diabet diet  tooth disord 101,nan
102,see doctor  numb long normal need investig  numer possibl numb best get check  blood sugar run weak pain shoulder neck carpal tunnel relat sign local red swell get check  best luck 102,sleep heavili medic  numb upper left arm 1 5 day nonstop  type 1 diabet  ned see doc wait 102,surgeri  gallston  asthma  cough  difficulti breath  home pregnanc test  hydrocel  thyroxin  foot swell  gastroenter  exercis  anemia 102,numb  sleep
