0,common surgeri relat common low risk procedur experienc ent surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
73,consid mri hard say without detail exam  would think ct scan chest 3 month ago normal  yield would pretti low get repeat ct scan look pan coast tumor  unless someth wrong first one  one  consid mri thorac cervic spine rule spinal caus 73,fear get lukemia lung cancer one chest ct scan one month ago  danger ct scan get cancer 73,surgeri  scoliosi  abnorm curvatur spine  broken bone  back pain  pain back  herniat disk  spinal surgeri  orthoped spine surgeri  spine surgeri  neck surgeri  minim invas surgeri 73,cancer  leukemia  lung cancer  ct chest  comput tomographi  ct scan
74,yes signific sore throat w swollen tonsil   lymph node     see physician  get strep throat test  cultur  antibiot imper strep throat  tri saltwat gargl  mix tsp salt 8 oz warm water     gargl w sever time day  gargl w alo vera juic coupl time per day  mix chamomil tea w honey  small amt lemon juic help 74,pack hand wound paper gone  hand swollen size egg lot pain  red  tender  go urgent care er 74,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 74,wound  hand swell  urgent care
75,vascular migran hea photophovia matern histori headach relat menstrual cycl 75,stop use cocain tri  took 4 hit 10 min start feel heart pound  dizzi  nausea etc 75,nan 75,nausea  dizzi  pound heartbeat  vertigo  cocain
76,possbl would suggest see dentist remov tooth dentist special facial pain  could also someth els diagnos 76,tmj caus ear pain  sore ear littl discomfort front ear  ear pain deep ach  jaw open crook pop  come  goe 76,sleep  tmj syndrom  sleep apnea  dentistri  facial pain  snore  apnea  dental health  tooth pain  manag tmj  dental pain  dental bite disturb 76,earach  tmj syndrom
77,problem post say  problem return dentist 77,endodontist say dont need root canal  dentist say   pain sensit cold tooth 77,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 77,root canal  endodont
78,wallabi check leak 78,swollen left breast pain  nippl discharg  blood  itch  lymph node armpit tender   see pcp er 78,polycyst ovarian syndrom  diabet  endocrinolog  thyroid  diabet  rotterdam polycyst ovarian syndrom pcos panel  thyroid 78,nippl discharg
79,yes oral herp cold sore genit herp caus herp simplex virus  oral infect usual caus type 1 virus strain  genit infect type 2 strain  howev  equal opportun virus usual oral type 1 strain caus herp genit locat  usual type 2 genit strain caus oral herp 79,hsv 1  partner 30 year old show hsv 1 igg detect  igm  negat  say cold sore sinc childhood  tramit hsv 1 79,children health  vaccin 79,herp  asymptomat  cold sore  herp simplex 1  immunoglobulin  hsv  low temperatur  virus  children  transmiss
80,almost anyth think concern get dri socket  well past time period patient develop dri socket  smoke initi rins import initi thing avoid  abl eat almost anyth want point  obvious common sens warrant 80,recommend wisdom teeth xray taken coupl day ago  lowr right area sore  hurt wen eat drink  wut 80,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 80,wisdom teeth
81,mayb chemotherapi tricki cirrhosi  medic oncologist certain give safest treatment  lower tumor marker  though  goal  goal make feel better live longer  feel fine  tumor marker rise  may worth consid noth longer feel fine  best 81,sister got diagnos liver cirrhosi year drink abus prescript medic   alway lead liver cancer 81,breast cancer  brain cancer  radiosurgeri  cyberknif 81,cirrhosi liver  cancer  liver cancer  hospic
82,differ mammogram special type xray breast  typic  two view breast taken initi screen mammogram  breast ultrasound radiat use evalu find mammogram assess lump felt patient  abl differenti cyst solid mass 82,radiologist gyn question: digit mammogram  radiologist see seborrh keratosi breast 3 larg 3 small  know mark suspici 82,mammogram  ct scan  cancer  sonogram  mri scan  breast cancer  imag 82,keratosi  mammogram  seborrh keratosi  digit mammogram
83,better 900mg  neurotin gabapentin good start point  doubl dose like improv symptom  million peopl take safe mediat  keep mind  symptom chronic natur  even 2030% improv signific someon start med  increas dose see happen 83,sensit biopsi test small fiber neuropathi 83,numb  flat feet  hammer toe repair  plantar wart  quit smoke  peripher vascular diseas  exercis  tendon  orthot  plantar fasciiti  plantar fasciotomi 83,neuropathi  nerv damag  fiber  biopsi
84,show demyelin recent revis diagnost criteria ms increas import mri find  diagnosi ms made sooner cours diseas base upon appropri histori physic find mri find  mri abnorm suggest demyelin brain spinal cord  caus demyelin exclud  ms like caus treatment begin 84,neuro exam emg  mri brain normal   spinal mri done   weak  shaki leg dizzi lot   balanc   fatigu  fascil  ms gadneuro 84,multipl sclerosi  cerebr apoplexi  stroke  cerebr vascular accid  subarachnoid hemorrhag  intracrani hemorrhag 84,dizzi  multipl sclerosi  lethargi  general anxieti disord  mri  mri brain  electromyographi  magnet reson imag
85,massag therapi tri massag physic therapi muscl relax  sometim antiinflammatori muscl relax also benefit  relief  may want consid mri c spine left shoulder  tingl may due nerv imping muscl spasm 85,24 week pregnant  feel like im go passout  k level 3 2  nausea  left arm hurt feel want go numb   concern 85,diabet  backach  hyperlipidemia 85,syncop  pregnanc
86,plavix plavix caus depress exacerb depress  recommend see doctor 86,anxieti caus dizzi feeli faint without feel im scare panic attack moment 86,chest pain  coumadin  stent 86,dizzi  feel anxious  syncop  panic disord  panic attack  anxieti  vertigo
87,normal occurr concern  even though normal occurr normal anatom structur  ask dentist evalu problem rule oral cancer hiv 87,possibl could oral cancer  would tongu throat hurt time  also ear pain  jaw pain  throat sting hard swallow 87,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 87,sore throat  earach  jaw pain  difficulti swallow  cancer  oral cancer  mouth cancer
88,short breath due lack oxygen  brain stem drive  breath rate driven ph  co2 + anxieti fear anticip need move  es co2 drive ed respiratori rate  rate goe ed co2 product brain near total ignor o2  reason give peopl o2 alter depth rate breath  look  exercis competit other  heart  lung ok 88,mild random chest pain left side chest   usual breast  almost feel like rib  ekg  bw  stress test  echo xray  normal 88,blood lipoprotein  atherosclerosi  lipoprotein fraction  coronari arteriosclerosi  diabet  arteriosclerosi  heart attack  arteriosclerosi extrem  diabet type 2  obes  eat healthier  coronari arteri diseas  exercis  ldl  sever high blood pressur  moder high blood pressur  nutrit  hdl  cholesterol test  high blood pressur young age 88,chest pain  stress  chest tight  chest pressur  angina  echo  electrocardiogram  roentgen ray  stress test
89,antihistamin tri claritin  allegra  zyrtec benadryl  awar last make sleepi  use night  fail nasalcrom spray  luck see doctor nasal steroid spray prescript 89,take fenofibr lipid regul agent thus trigger allergi eg sneez wateri nose red eye itchi tongu preckl ontop 89,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 89,hypersensit  tricor  lipid  fenofibr  allergi
90,get check tonsil due strep germ  need seen  older get  like fever sore throat due strep  alway  get check sure  strep throat dont get treat  risk serious complic  like rheumat heart diseas 90,strep throat symptom swollen tonsil  white spot  sore throat  fever  ach  etc  feel fine 90,nan 90,asymptomat  strep throat  fever  sore throat  swollen tonsil
91,normal studi reason pursu issu    problem sound like nontrunc vein 91,distinguish pain sciatica leg blood cloti get scare pain get hip foot pain similar 2 dvt 91,vein  blood clot leg  varicos vein  venous insuffici  lymphedema  spider angioma  varicos vein leg  spider vein  deep venous thrombosi  exercis  sclerotherapi  surgeri  phlebolog  inflamm thyroid  compart syndrom  hashimoto thyroid  phlebiti  fibromyalgia  pku  bow leg 91,dimer  ultrasound lower extrem vein
92,could strep throat viral infect look act similar  get throat cultur know 92,2 week ago swollen gland  post nasal drip  cough  got zpack better  swollen gland back drip  bad throat pain  sea  allergi 92,dizzi  vertigo  surgeri  congest  thyroid surgeri  rhiniti  chronic sinus  septoplasti  acut sinus  facial pain  hear loss  thyroidectomi  endoscop sinus surgeri  ear drop  salivari gland disord 92,cough  sore throat  throat pain  swollen gland  enlarg lymph node  hypersensit  post nasal drip  z pak  enlarg gland  zithromax
93,plz c breast surgeon normal mammogram reassur  mani 10% cancer seen mammographi  therefor  palpabl lump  seen breast surgeon  use combin physic examin  ultrasound  +  biopsi  get bottom  dont delay 93,fill month ago  sensit cold  dentist said ok sensit hot also  sound right 93,cancer  breast cancer  hernia  laparoscop surgeri  mammogram  gallston  abdomin pain  breast lump  append  inguin hernia  mastectomi  gallbladd diseas 93,cold sensit
94,talk therapi anxieti health  healthi  may help speak profession therapist  invalu help feel better 94,blood pressur 141 86 puls 76 bad im diabet feel palpit also  differenti heart vs  anxieti 94,stress  anxieti  stress echocardiographi  difficulti breath  hypertens  heart palpit  manag high cholesterol  mitral regurgit  valvular heart diseas  aortic stenosi  nuclear stress test 94,feel anxious  palpit  blood pressur  anxieti
95,thyroid may goiter  fanci word enlarg harden thyroid  sometim effect amount thyroid hormon blood  hormon extrem import mani bodi system name metabol  see md exam possibl blood test measur hormon level  good luck 95,start feel overwhelm feel like cant breath lump throat start panic wrong 95,dental implant  sedat dentistri  dental abscess  periodont  tooth pain 95,panic attack  anxieti
96,mayb lot sex may caus friction injuri delic vagin line  also spermicid lubric condom may irrit  trichomona  std  may  regardless  sound like time break allow thing cool  symptom persist discharg  see healthcar provid  avoid riski sex prevent infertil lifethreaten stds 96,white milki discharg taken monistat 7 day    im rule yeast infect  could 96,hospit  intern medicin pediatr  urgent care 96,yeast infect  yeast  candida
97,possibl unfortun  go say unlik  seen patient sore nippl  itchi breast  itchi rash breast  nippl discharg  tingl sensat breast  variat    without paingo breast cancer  may typic  earliest detect must  neg mammogram ultrasound mean cant ca  see specialist bx 97,headach  fatigu  cramp  bloat  constip  tender nippl  back pain  dizzi  last period start june 3  pregnant 97,breast cancer  sarcoidosi  lose weight  stress  breast implant 97,constip  back pain  dizzi  headach  lethargi  menstrual cycl  pain back  pregnanc  vertigo
98,tmj disord temporomandibular disord second frequent caus orofaci pain dental pain  proper diagnosi key success treatment  see orofaci pain practition consult treatment 98,side jaw hurt right ear  cannot open mouth way plus sound like sand insid could tmj 98,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 98,tmj syndrom
99,unlik may tendon  bone promin bursiti  best evalu  may need xray initi evalu  obvious  doctor feel may soft tissu  mr help  definit evalu  dr l 99,father leg becam red hot swollen knee hurt  dr  said bitten someth  could caus 99,foot arthriti  foot health  foot surgeri  sport activ  foot care  joint surgeri 99,nan
100,tissu damag  babi pass birth canal caus damag support tissu around vagina  bladder  urethra rectum  time lead mobil urethra leak urin certain activ  also result drop prolaps pelvic organ 100,part kid stress incontin 100,incontin  cystocel  rectocel  uterin prolaps  urinari incontin  overact bladder  bladder sling surgeri  hereditari ovarian cancer  fecal incontin  hormon replac therapi  pain bladder syndrom  hereditari breast cancer  minim invas surgeri 100,stress  stress incontin  urinari incontin  leak urin  incontin  children  stress urinari incontin  loss bladder control  run
101,sxs cant diagnos inform avail  histori  physic examin  studi may need determin caus caus  accur assess treatment plan develop 101,small bump gum underneath tooth  look like blister month  hurt chang size 101,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 101,nan
