0, may treat nasal congest 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
72,tmjtmd tmj disord second frequent caus orofaci pain dental pain  common symptom are: jaw pain  earach headach  proper diagnosi cancer screen key success treatment  disord resolv home care  see orofaci pain specialist evalu treatment  check site ofp near you: http:  www aaop org 72,lump cheek bone  like firm sac  run direct diagon ear mouth deep  could anyth tooth jaw infectio 72,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 72,nan
73,may  usual regular ct scan abdomen  without bowel prepar ideal way detect colon cancer  mani lesion like mask fecal matter  larg lesion may discern  3d ct scan  bowel prepar would better detect colon cancer  endoscopi better way  polyp remov suspici lesion biopsi 73,fear get lukemia lung cancer one chest ct scan one month ago  danger ct scan get cancer 73,cancer  nutrit  cervic cancer  ovarian cancer 73,cancer  leukemia  lung cancer  ct chest  comput tomographi  ct scan
74,monitor center lymphat system absorb carri thing big go arteri vein like bacteria eaten white cell digest food  lymph node tast lymph anyth bad like bacteria virus cancer  etc  detect problem  alert immun system bodi react  enlarg respons inflamm creat react  shrink well 74,pack hand wound paper gone  hand swollen size egg lot pain  red  tender  go urgent care er 74,cellul  sunburn  lymphedema  burn  blister  wound heal  scar  scar  abnorm wound heal  neuropathi  nerv damag  peripher arteri diseas  numb  raynaud diseas  diabet ulcer 74,wound  hand swell  urgent care
75,headach headach radiat around head locat one place flash light eye headach  could migrain headach  call prodrom  feel like band around head  could tension headach  hope help  need littl histori fulli help continu  see famili doc 75,stop use cocain tri  took 4 hit 10 min start feel heart pound  dizzi  nausea etc 75,voic disord  swallow disord  parathyroid disord 75,nausea  dizzi  pound heartbeat  vertigo  cocain
76,see dds  md tmj problem get wors treat  see dentist evalu treatment plan  dentist may refer physician possibl dermotologist evalu growth  may biopsi growth 76,tmj caus ear pain  sore ear littl discomfort front ear  ear pain deep ach  jaw open crook pop  come  goe 76,child health  dentistri  sleep  abscess  root canal  teeth whiten  sleep apnea  cosmet dentistri  fals teeth  tmj syndrom  bad breath  dri mouth  snore  tooth pain  tooth abscess  cancer  children health  mouthguard  dental implant  periodont 76,earach  tmj syndrom
77,see dentist tooth potenti caus sinus infect  see dentist teeth examin  signific tooth structur miss  tooth need extract  adequ tooth structur support crown cap  root canal recommend 77,endodontist say dont need root canal  dentist say   pain sensit cold tooth 77,oral surgeri  dental implant  anesthesia  bone graft  tooth pain  tooth abscess  wisdom tooth extract  gum diseas  miss teeth  tooth extractor  gum graft  mouth tooth diseas  chip tooth  gum biopsi 77,root canal  endodont
78,infect infect anywher hand arm result enlarg pain lymphnod armpit 78,swollen left breast pain  nippl discharg  blood  itch  lymph node armpit tender   see pcp er 78,cancer  nutrit  cervic cancer  ovarian cancer 78,nippl discharg
79,hsv1  usual fever blister usual caus hsv1  caus hsv2 79,hsv 1  partner 30 year old show hsv 1 igg detect  igm  negat  say cold sore sinc childhood  tramit hsv 1 79,tooth pain  dental care  oral surgeri  dental procedur  dental pain  dental health 79,herp  asymptomat  cold sore  herp simplex 1  immunoglobulin  hsv  low temperatur  virus  children  transmiss
80,need attent could caviti  could wisdom tooth  could caviti wisdom tooth  dental problem need seen diagnos   make appoint local dentist  problem get better 80,recommend wisdom teeth xray taken coupl day ago  lowr right area sore  hurt wen eat drink  wut 80,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 80,wisdom teeth
81,yes beyond cirrhosi  caus chronic hepat b 81,sister got diagnos liver cirrhosi year drink abus prescript medic   alway lead liver cancer 81,hepat  inflammatori bowel diseas  gastroesophag reflux diseas  cirrhosi liver  celiac diseas  ulcer coliti 81,cirrhosi liver  cancer  liver cancer  hospic
82,lump probabl breast surgeon would best  otherwis  ob gyn primari care physician would abl perform breast exam order mammogram need 82,radiologist gyn question: digit mammogram  radiologist see seborrh keratosi breast 3 larg 3 small  know mark suspici 82,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 82,keratosi  mammogram  seborrh keratosi  digit mammogram
83,let find pain neuropathi first  seen neurologist test caus neuropathi metro phoenix top tier neurologist thank barrow mayo  accur identifi caus first  best treatment  small fiber neuropathi diabet plexopathi b12 alcohol etc  gabapentin lyrica act near ident  dose optim 83,sensit biopsi test small fiber neuropathi 83,dementia  depress  bipolar disord  panic attack  frontotempor dementia  tempor lobe epilepsi  alzheim diseas  cataton rigid  catatonia  delirium  neuropsychiatri 83,neuropathi  nerv damag  fiber  biopsi
84,lhermitt ms lhermitt phenomenon occur mani reason  normal mri studi exam elimin ms intervertebr disc diseas caus  clear caus  feel reassur  base find 84,neuro exam emg  mri brain normal   spinal mri done   weak  shaki leg dizzi lot   balanc   fatigu  fascil  ms gadneuro 84,seizur  multipl sclerosi  neuropathi  nerv damag  live al 84,dizzi  multipl sclerosi  lethargi  general anxieti disord  mri  mri brain  electromyographi  magnet reson imag
85,short breath numb arm shoulder may relat pregnanc induc carpal tunnel although that usual arm hand  short breath bother  swollen may relat expand uterus push diaphragm  sudden onset check ob safe side 85,24 week pregnant  feel like im go passout  k level 3 2  nausea  left arm hurt feel want go numb   concern 85,acn  ovul  fertil 85,syncop  pregnanc
86,possibl even young peopl go deaf   common   see doctor examin hear test 86,anxieti caus dizzi feeli faint without feel im scare panic attack moment 86,cancer  hernia  hemorrhoid  wart 86,dizzi  feel anxious  syncop  panic disord  panic attack  anxieti  vertigo
87,see dentist doc told tmj problem  good place start would dentist evalu symptom decid problem tmj problem 87,possibl could oral cancer  would tongu throat hurt time  also ear pain  jaw pain  throat sting hard swallow 87,wisdom tooth extract 87,sore throat  earach  jaw pain  difficulti swallow  cancer  oral cancer  mouth cancer
88,pleurisi usual pain occur deep breath sign irrit tissu chest  often  irrit intern line chest pleura feel like pain tissu becom irrit  deep breath caus tissu rub  injuri rib muscl  get check 88,mild random chest pain left side chest   usual breast  almost feel like rib  ekg  bw  stress test  echo xray  normal 88,chest tight  angina  chest pressur  chest pain  arachnoid cyst  sonogram  rapid heart beat  femal health  pulmonari fibrosi  atrial fibril  cerebr vascular accid  stroke 88,chest pain  stress  chest tight  chest pressur  angina  echo  electrocardiogram  roentgen ray  stress test
89,sneez could anyth  start tri salt water wash prior go bed upon wake morn take medic  see allergist test find allerg 89,take fenofibr lipid regul agent thus trigger allergi eg sneez wateri nose red eye itchi tongu preckl ontop 89,child allergi  asthma  allergi  child health  hypersensit  children health  rash  cough  nasal  itch  allerg reaction  rhiniti  fever  psoriasi  immun defici  food allergi  atop dermat  insect venom panel  chronic sinus  acut sinus 89,hypersensit  tricor  lipid  fenofibr  allergi
90,strep tonsil  need seen right dx rx  strep throat exud  swollen gland  headach  chill bodyach caus heart problem neglect 90,strep throat symptom swollen tonsil  white spot  sore throat  fever  ach  etc  feel fine 90,barium swallow xray 90,asymptomat  strep throat  fever  sore throat  swollen tonsil
91,seek medic care spinal cord nerv imping caus kind symptom  inde case  irrevers damag could result  trip emerg room primari doctor necessari 91,distinguish pain sciatica leg blood cloti get scare pain get hip foot pain similar 2 dvt 91,hospit 91,dimer  ultrasound lower extrem vein
92,  could viral bacteri pharyng mononucleosi  would suggest get check physician rule strep throat 92,2 week ago swollen gland  post nasal drip  cough  got zpack better  swollen gland back drip  bad throat pain  sea  allergi 92,nan 92,cough  sore throat  throat pain  swollen gland  enlarg lymph node  hypersensit  post nasal drip  z pak  enlarg gland  zithromax
93,differ opinion detail question import as: saw first time span visit pain get wors  better intens durat pain often  answer whether rct necessari 100% appar  wait  els seem ok help determin need  cant wait  rct 93,fill month ago  sensit cold  dentist said ok sensit hot also  sound right 93,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 93,cold sensit
94,im still worri sure would ignor symptom  patient symptom  saw primari monday  test negat  saturday  five day later icu witha heart attack  treat immedi  well 94,blood pressur 141 86 puls 76 bad im diabet feel palpit also  differenti heart vs  anxieti 94,nan 94,feel anxious  palpit  blood pressur  anxieti
95,get check swollen tonsil  caus ear pain swallow  bad breath often sign strep throat  must treat antibiot dont get complic later  pleas get seen call doctor 95,start feel overwhelm feel like cant breath lump throat start panic wrong 95,nan 95,panic attack  anxieti
96,yes  could yes  could either kind infect  sexual activ infect also possibl  either way  need seen doctor order determin kind infect treat differ 96,white milki discharg taken monistat 7 day    im rule yeast infect  could 96,episod decreas conscious  syncop  head trauma 96,yeast infect  yeast  candida
97,multipl symptom doubt could pregnant even though yore breastfeed  doesnt confer 100% protect  howev  pregnanc test negat say repeat one 2 week negat  anoth reason explain symptom 97,headach  fatigu  cramp  bloat  constip  tender nippl  back pain  dizzi  last period start june 3  pregnant 97,child health  circumcis  cancer  circumcis  diabet  depress  sleep  laparoscop surgeri  children health  child diabet  diabet risk  fever  rid lice treatment  nasal  normal childbirth  rehab  chronic high blood pressur  natur remedi  men health  pain manag 97,constip  back pain  dizzi  headach  lethargi  menstrual cycl  pain back  pregnanc  vertigo
98,could  block eustachian tube  consult pcp 98,side jaw hurt right ear  cannot open mouth way plus sound like sand insid could tmj 98,oral surgeri  tooth pain  dental health  abscess  gum diseas  dental abscess  sedat dentistri 98,tmj syndrom
99,knee surgeri yep  see lot  especi compress therapi use post knee surgeri   sometim compress therapi need extend foot 99,father leg becam red hot swollen knee hurt  dr  said bitten someth  could caus 99,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 99,nan
100,leak w strain stress urinari incontin sui involuntari loss urin result increas abdomin pressur bear  cough  sneez  laugh  exercis  usual small volum  typic caus part poor support hypermobl urethra bladder neck often result childbirth 100,part kid stress incontin 100,incontin  femal health  contracept  pap smear  bacteri infect vagina  normal childbirth  sever pelvic pain  vagin bleed  uterin prolaps 100,stress  stress incontin  urinari incontin  leak urin  incontin  children  stress urinari incontin  loss bladder control  run
101,dermatolog dermatolog condit alway difficult diagnos without see  new itchi  condit hive consid  flat scali  viral rash like pityriasi could consid  usual reddish howev  clear vesicl bubbl top  chicken pox consid  consult physician rash child alway good idea  best advic would doctor take look 101,small bump gum underneath tooth  look like blister month  hurt chang size 101,nan 101,nan
102,nerv problem divid sick nerv compress nerv  look distribut one tini  tini area  sick nerv go end backward due overal process like diabet hit one area typic  tight shoe caus temporari numb small area  typic distribut high heel  cannot say particular case  general 102,sleep heavili medic  numb upper left arm 1 5 day nonstop  type 1 diabet  ned see doc wait 102,exercis  lose weight  stress  supplement  ulcer  age grace  diabet type 2  migrain headach  white cell count  oxygen  suboxon  intern medicin  suboxon withdraw  opiat withdraw  medic  pharmacolog 102,numb  sleep
103,stds nope  symptom repres std symptom 103,drs check stds gonorrhea chlamydia cbc order 103,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 103,sexual transmit diseas  gonorrhea  chlamydia infect  chlamydia trachomati   complet blood count  chlamydia gonorrhea  cbc
